intrigue	の興味をそそる|陰謀(を企てる)
patriot	愛国者
rep	代表(= representative)
expiration	満了|満期
tasty	おいしい|味のいい
peck	つついてあける|(～を)(くちばしで)つつく|ペック|コツコツつつく音
gratefully	感謝して
expedient	好都合の|ご都合主義の|政略の|方便|急場しのぎの方法
truthful	誠実な|正直な|本当の
ambivalence	反対感情両立|愛憎併存
rectify	調整する|誤りを修正する
spectrometry	分光分析
sly	陰険な|ずるい|いたずらな|狡猾な
monsieur	様
midday	正午|真昼
sweaty	汗にまみれた|汗のような|汗まみれの
dipole	(IT用語)双極子|二重極|ダイポール
snarl	ウーッ|犬のうなり声|鳴き声|がみがみ言う
cannabis	大麻
suffix	サフィックス|接尾辞
pristine	初期の|原始時代の|素朴な|清純な|自然のままの|元の|原始的な
impersonal	非人格的な|個人的でない|(文法)非人称の
subway	地下道|地下鉄
spicy	薬味を入れた|香ばしい|香辛料のきいた|気のきいた|きわどい
hog	ブタ|大型車|むさぼる|独り占めする
toxin	毒素
femininity	女であること
parlour	応接室
narrate	を順序だてて話す|物語る
biographical	伝記(体)の
upheaval	(社会的な)大変動|持ち上がること|(地殻の)隆起|動乱|激動|激変
idealism	理想を抱くこと|理想主義
sacrificial	犠牲的な
wondrous	驚くべき
geographically	地質学的に
glossy	光沢のある|見栄えのする|もっともらしい
outpatient	外来患者|(病院の)外来(科)
pee	(幼児語)おしっこをする|おしっこ
degrade	退化させる|地位を落す|下げる|低下する
chaplain	公共施設付きの牧師|施設付きの司祭
rooftop	屋根|屋上
raven	ワタリガラス(不吉の兆しとされる)|(一般に)カラス属の各種(大ガラスなど)|略奪する
builder	大工|工務店
discretionary	任意の
rustle	衣擦れの音をさせる|活発に動く|さらさらという音(を立てる)|手早く手に入れる
fatality	不幸|死亡(者数)|運命|致死(率)
aggressively	積極的に
mamma	おかあさん|ママ|肉感的な女
tumble	転倒する|宙返りする|を倒す|を投げる|転落|暴落
suspiciously	けげんそうに|怪しそうに|深い疑く
liner	裏を付けする人|定期船|線を引く人|はさみ金|線の
priesthood	司祭職
softness	柔らかさ|穏やかさ|優しさ
tribulation	苦悩|苦難
lookout	見張り(番)|警戒|監視所|見晴らし|見込み|仕事
clap	拍手する|ピシャリ|パタン|戸が閉まる音
reviewer	批評家|評論家
unfit	適当でない|不適当な|不向きな|不適当にする|無資格にする
blankly	茫然と|ぽかんとして|きっぱりと
outreach	奉仕活動
visceral	内臓の|(病気が)内臓を冒す|直感的な|理屈抜きの|本能的な|腹で感じる(ような)
unitary	単一の|一元の|単位として用いる|単位の|単一政府制の|中央集権制の
federation	連邦|連盟|連邦政府|同盟|組合|連合
methylation	メチル化
petitioner	原告|請願者
impartial	公平な|片寄らない|偏らない|公明正大な
aureus	黄色ブドウ球菌
infect	を感染させる|に影響を与える|を病菌で汚す|伝染させる|伝染する
nun	修道女|尼僧
mutter	つぶやく|ささやき|不平|ブツブツ|しゃべり声
upbringing	養育|育て方|躾(しつけ)
intolerance	不寛容
valence	結合価|原子価|価電子帯
crease	に折り目をつける|折り目|ひだ|しわ
venerable	尊敬に値する|神聖な|いわれのある
manoeuvre	作戦行動|機動演習|術策|大演習をさせる
watchful	用心深い|用心した
pendant	ペンダント|つりランプ|シャンデリア|吊り輪|対の一方
yogurt	ヨーグルト (=yoghurt)
courteous	礼儀正しい
grimly	厳格に|残忍に|気味悪く
remission	赦免|減刑
descendant	子孫|後裔
stench	悪臭
permeate	(pˈɚːmièɪt)|に浸透する|に広がる|に充満している|普及する|に行きわたる
victor	勝利者|征服者
ingenuity	発明の才|創意|独創性
dilute	薄める|希釈する|薄くする
planar	二次元の|平面の|平面的な
bravely	勇敢に
accompaniment	伴うもの|随伴物
roadside	道端|道路脇|道ばたの|沿道|路傍(の)
fungus	(複数形)fungi|真菌類|菌類|かび(mushroom|toadstool|mildew|moldを含む)
indoors	『室内に』(『で』)|『屋内に』(『で』)
apologise	謝る|(米-ze)
gulf	湾|裂け目|大きな隔たり|深い割目|深い穴|深淵
replay	再生
retina	網膜
alveolar	(ælvíːəlɚ)|歯槽(しそう)の|alveolar consonants(歯茎音t|n|l|sなど|舌先を上歯茎に近づけて発音する子音)
scientifically	科学的に
contentment	満足
referent	対象|(語の)指示物(対象)
stormy	荒れた|嵐の|あらしの|激しい
vigor	元気|力|活力|活気|迫力|勢い|(植物などの)生長力
fallacy	きべん|誤信|謬見|虚偽
beacon	水路標識|信号灯
subtly	微妙に|巧妙に|ずるく|鋭敏に
resonant	反響する|共鳴を起こす|反響して
buffet	打撃|(風波･運命の)翻弄|打つ|食器棚|ビュッフェ･立食
lifespan	寿命
barbecue	バーベキュー
compliant	従順な|言いなりになる
deportation	追放|流刑|国外追放
caption	に見出しをつける|(記事などの)表題|(ページなどの)見出し|字幕|説明文|キャプション
wince	いやな顔をする|たじろぐ|ひるむ|たじろぎ|怯む
rustic	飾り気のない|純朴な|田舎の|無作法な|田舎者
endlessly	延々と
muzzle	沈黙させる|口止めする|(動物の)鼻口部|口輪|鼻|口輪をはめる|鼻づら|銃口
flu	インフルエンザ
populace	庶民|民衆|住民
stringent	説得力のある|切迫した|厳しい
embryonic	胚に関する|胎児の|胚の
ethylene	エチレン|二重結合で結ばれた炭素2個を持つ炭化水素|重合するとポリエチレンになる|様々な化合物の原料として用いられる
disposable	使い捨てにできる|使い捨ての|自由に使える
forceful	力のある|力強い
iniquity	(重大な)不正|不法|邪悪|不正行為
burner	バーナー
linearly	直線的に
hare	野ウサギ|Rabbit(小型の穴ウサギ種|愛玩用)に比べ|大きく|速く狩猟対象にもなる
predominate	一世を風びする|支配する|優勢である|卓越する
cafeteria	カフェテリア
knowingly	しりた顔で|わざと
underworld	犯罪社会|下界|あの世|地獄|下層社会|暗黒街
refreshment	気分をさわやかにする|休養|元気を回復させる物|気分をさわやかにするもの
informational	情報の
cider	リンゴ酒(日本語で言う｢サイダー｣の意味はない)
pointless	無意味な|無得点の|先のない
liturgy	礼拝式|祈祷書
cozy	こじんまりとした|居心地のよい|便利な
overwhelmingly	圧倒的に
hive	ミツバチの巣箱(=beehive)
oft	often|しばしば
godly	信心深い
frightful	ぞっとするような|恐ろしい|ものすごい|醜悪な
theologian	神学者
densely	こんもり|濃く|密集して
wand	指揮棒|(手品師|魔法使いの)杖|つえ|職杖|的板
carrot	ニンジン
robustness	粗暴|厳しい
sewer	下水道|下水管
hoard	貯蔵(する)|買いだめ(する)
envoy	大使|外交使節|個人の使節
inductive	帰納的な|(物理)誘導の|引き入れる|前置きの
histogram	ヒストグラム|柱状図|棒グラフ(=a bar chart)
dilution	薄めること|希薄|薄めたもの
boundless	限りない
scant	わずかな|乏しい|不十分な|狭い
humbly	恐れ入って|謙遜して|卑しく
testament	契約|新訳聖書|遺言|遺言書|遺書
heater	ヒーター|暖房
shutter	シャッター|閉じる人(物)|よろい戸(を閉める)|雨戸
salesman	販売係|男子販売員|男子店員|外交販売員|セールスマン
snare	誘惑(する)|わな(に･をかける)|陥れる
dissipation	浪費|消散|放蕩|道楽
platter	大皿(に盛った料理)
reparation	賠償金|補償|回復
unused	使用されない|使わない|使ったことがない|新しい|不慣れの
simulator	シミュレータ
playwright	劇作家|脚本家
taut	張りつめた|ぴーんと張った
insufficiency	不十分
antidote	解毒剤|対策|矯正手段
adept	熟達して|名人
enamel	エナメル|ほうろう|(陶器の)上ぐすり
silky	絹のような
papal	ローマ教皇の;ローマカトリック教[会]の
squeal	キーキー鳴く|キーキーいう|金切り声をあげる|キーッ|車が急停車する音
repayment	(借入金などの)返済
twofold	2倍の(重)の(に)|2要素のある|2部分|2倍(重)に|二重|2要素をもつ
hush	しっ!|落ち着かせる|黙らせる|静かにさせる
serotonin	セロトニン|生理活性物質の一種|名称はserum(血清)とtone(トーン)に由来し|血管の緊張を調節する物質として命名|生体リズム・睡眠・体温調節などに関与
unlucky	不運な|不首尾の|不吉な
puberty	思春期|reach(the age of)puberty思春期に達する|年ごろになる
handler	トレーナー|調教師
hysterical	ヒステリーの
parrot	オウム|(～を)オウムのように繰り返す
buffer	緩衝域|-を置く
twitch	痙攣|を引っ張る|痙攣させる
conceptualize	概念化する|概念的に説明する
ghostly	幽霊の
galley	ガレー船(ギリシア･ローマの軍船) L|galaia大きな船
levy	課税(する)|(強制的に)課する(=impose)|差し押さえる(=seize)
neuroscience	神経科学
grassy	草でおおわれた|草のはえた
tachycardia	頻脈
pal	仲良し|友人|友達|相棒|おい(呼びかけ)|仲良しになる|仲良く付き合う
crank	変人
orally	経口的に|口頭で|口述で
deceit	詐欺
speedily	急速に|ただちに
incomprehensible	理解できない
graphite	石墨|黒鉛
inasmuch	だけれども
postmodern	ポストモダン(派)の
marking	荷印
faithfulness	忠実|誠実|貞節|信心深さ
shale	頁岩(けつ岩)|泥板岩|shale gasの産出で知られる
affluent	豊富な|よどみなく流れる|裕福な|流れ込む
treachery	裏切り行為|裏切り|背信|不信|不実|謀反
cape	肩マント|岬|ケープ
mop	モップ|かたまり|拭くこと|拭く
incubation	孵化
inaccessible	近づきにくい
assimilate	消化する|同化する|吸収する|類似させる|似せる|似てくる
implantation	移植
conclusive	結論的な|決定的な|最終的な
habitation	(仏語)アビタシオン|住宅|住居|居住|住居地
defender	防御者
sentry	哨兵|歩哨|見張り番|衛兵
flirt	異性に対して面白半分に気を引く
promotional	昇進の
poke	を突く|を突き出す|突っ込む
ingestion	摂取
sparkle	きらめく|輝く|閃光|輝き
obediently	従順に|すなおに
enlist	の協力を得る|軍隊にとる|協力(支持)を得る|協力する
shabby	みすぼらしい|使い古した
unresolved	未解決
rubble	破片|瓦礫
supposition	想定|仮定|推測
arbitrator	仲裁者
sullen	むっつりした|うっとうしい|不機嫌な|陰気な
arsenic	ヒ素|(ヒソ|砒素)|元素記号As|灰色ヒ素(金属ヒ素)|ロウ状の柔らかい黄色ヒ素|黒リンと同構造の黒色ヒ素の3同素体がある|リンに似た物理化学的性質を示し|毒性の由来になっている
dissimilar	異なる|似ていない
premier	首相|総理大臣|州知事|首位の|第一位の|最も古い|prime minister
facade	ファサード|建物正面の壁面|(比喩的に)外見|見せかけ|正面
sieve	こし器|うらごし器|をふるいにかける
folklore	民話|民間伝承|民俗学
tangent	接する|接線の|接線|接面
flaw	欠陥|弱点|欠点|傷|ひび|割れ目
gracefully	優雅に|淑やかに
subsidy	補助金|助成金|交付金
exponentially	急激に|幾何学級数的に
cohesive	(日常などに)密接した|粘着性のある|結合性のある|密着する
sandstone	砂岩
liturgical	礼拝式の
quart	クォート(液量の単位)
mockery	あざ笑い|あざけり|偽|にせもの|無駄な努力|ばかにすること|冷やかし
purposeful	目的のある|意味深長の
spleen	脾臓(ひぞう)
helm	かじ|操舵装置
neurologic	神経学
mural	壁の
fraudulent	詐欺の|不正の
deflection	ゆがみ|かたより|それ|歪み|偏向|偏差|転向角
pinpoint	ピンの先|正確に示す(ねらう)|ピン先(ほどの)|ごく小さい物|わずか
transcendence	超越|超絶|(神の)超絶性
orator	雄弁家|演説者
overwhelm	圧倒する|苦しめる|沈没させる
diaphragm	横隔膜
lavender	ラベンダー色の|ラベンダー|薄紫|フジ色|保管用ポジフイルム
deterrence	(dɪtˈɚːrəns)|抑止|抑止力|引き止め|(特に)核兵器|戦争抑止
broom	ほうき|掃く|エニシダ(植物)
dissipate	散らす|浪費する|分散する
overtime	時間外の|超過勤務時間|時間外|残業手当|OT
circumvent	出しぬく|だます|取り囲む|迂回する|回避する
thinly	まばらに|やせて|希薄に|細く|弱く|薄く|トラック競技の選手|ランナー
atheist	無神論者
coastline	海岸線
lobster	伊勢海老|うみざりがに
insistent	しつこい
seductive	人を引きつける
liaison	つなぎ|連結|連絡|連絡窓口|連絡係|密通
sharpen	を鋭くする|をはっきりさせる
homeostasis	ホメオスタシス
cafe	喫茶店
runaway	家出|駆け落ち|逃亡者|楽勝|一方的勝利
lagoon	潟(かた)|潟湖せきこ|沼|礁湖
enlighten	啓蒙する
collide	衝突する|ぶつかる|一致しない
falsely	偽って
fasten	動物を囲いこむ|固定する|締める|しがみつく
spatially	空間的に
yolk	羊毛脂|卵黄|黄身
autobiographical	自叙伝の
professionalism	プロ意識
tranquil	のどかな|静かな|平穏な|安らかな
cordial	心からの
cytoplasm	細胞質
fibrous	繊維の|繊維質の|繊維性の|繊維状の|強い|強靭な
lettuce	レタス
orthodoxy	正統
allegory	寓意|物語|寓意物語|風喩|象徴
snail	カタツムリ|不精者
defer	延ばす|延期する|従う
hound	猟犬で狩る|猟犬|犬
manifesto	宣言(書)|声明(書)
disrespect	失礼
stale	生気がない|古い|陳腐な|新鮮でない|気の抜けた
atrium	アトリウム|心房|房(ｃｆ|ventricle心室)
disproportionate	不つりあいな
sleek	口先のうまい|光沢を出す|なめらかな|しゃれた身なりの|栄養がよい|を滑らかにする
bridle	馬勒(おもがい･手綱の総称)|添え金|馬靱をつける|反り返っていばる
ply	(ベニア板などの)層|に精を出す|勉強する|強いる|往復する|通う
pact	契約|条約(treatyと同義で用いられる)|約束|協定|treaty
harmonize	調和させる|調子を合せる
dehydration	脱水症状
pancreas	膵臓(すいぞう)
madman	気違い|狂人
tatter	〈C〉(1片の)ぼろ|ぼろ切れ|《複数形で》ぼろ服|〜‘を'ぼろぼろに破る
chi	(第22ギリシア文字)カイ|Χ|χ
southward	南へ(の)
categorize	分類する|類別する
untreated	未処理の
naturalist	動(植)物学者|博物学者|自然主義者
squire	いなか紳士|裁判官|地方地主|大地主|だて男|だんな
wholesome	健康によい|健康的な|健康そうな|健全な
erupt	噴出させる
overdose	(薬)盛りすぎ|定量超過
forsake	をやめる|捨てる|を放棄する
payroll	給料支払表|従業員数|給料支払い名簿
universality	普遍性
deduce	推論する
hereby	これによって
starve	飢えさせる|餓死する|飢える|を餓死させる
doubly	二重に
logistic	記号論理学|後方支援の|兵站業務の|兵站学の|記号論理学の
polymorphism	ポリモーフィズム|オブジェクト指向プログラミング言語の性質のひとつ|「多相性」「多様性」などの意
snowy	雪の|雪の多い
anarchist	無政府主義者
devout	信心深い|faithful|pious|religious|worshipful
disappoint	を失望させる
automotive	自動の
bedtime	就寝時刻
unbelievable	信じられない
