kerosene	灯油|paraffin
lex	(ラテン語)法|法律
kangaroo	カンガルー|オーストラリアの大型有袋類
trooper	州警察官
commandant	司令官
baptize	に洗礼を施す|洗礼する
aristocrat	貴族的な人
shamelessly	臆面もなく
uncertainly	曖昧に|はっきりしないで
throe	《おもに文》激痛;(死ぬような)苦しみ;陣痛|(〜とり)苦闘《+of+名(doing)》
polemical	論争の
supremacist	至上主義者
celebratory	祝う
telecommunication	(遠距離の)電気通信|電気通信術
swerve	急に曲がる|それる|それさせる|(急に)向きを変える|ハンドルを切る
exhalation	呼気|息を吐くこと|ぶちまけること|気象現象|蒸発|大気が明るく輝く現象|爆発|発散|5流星
peruse	を精読(熟読)する|を読む|をよく調べる
buoyancy	浮揚|快活|(相場の)騰貴傾向
contributory	寄与する|貢献して|あずかって|寄付の
discipleship	弟子(門人)としての身分
apothecary	薬屋(人)
conformational	立体配座の
plummet	急落する|まっすぐに落ちる|錘|鉛垂|重圧
obscenity	わいせつ
trill	震え声で歌う|トリル|歌を震え声で歌う|を巻き舌で発音する
enteric	腸の
jovial	陽気な
denture	(一組みの)義歯
fad	一時的流行|気まぐれ|気紛れ
conciliatory	懐柔的な|なだめるような
disillusionment	幻滅
unbridled	抑えのきかない|馬勒(ばろく)のない|拘束(抑制)のない|放らつな
fandom	ファンの世界
misinformation	誤報
preventative	予防する(preventive)
techno	テクノ
refrigeration	冷蔵|冷凍|冷却
tragically	悲劇的に
negotiable	交渉できる|交渉の余地がある
rename	改名する
instigate	そそのかす|煽てる|けしかける|起こさせる
damnation	破滅
buccal	舌下錠|頬側|頬の|頬側の|口の|口内の
federally	連邦政府によって
antiquate	(新しいものがとって代り)〜'を'古くさくする|時代遅れにする
quad	4つの
sorption	(物理化学で)収着
boatman	(貸し)ボート屋|ボートのこぎ手|ボート商人|舟子|船頭
litre	(=liter)|リッター|リットル
outpouring	ほとばしり|流出|流露
engraving	彫刻
withal	そのうえに|かてて加えて(besides)|=with
evasive	回避する|言い逃れの|回避的な
wrestler	レスラー|レスリング選手|組み打ちする人
purportedly	うわさによれば
bourbon	バーボンウイスキー(米国産のトウモロコシ・ライ麦製)
artefact	加工物
namesake	(ある人の)名をもらった人|同名の者(物)
asterisk	星印
orthopedic	整形外科の|整形外科
bilingualism	2か国語併用
plantar	足の裏
toothpaste	歯磨き粉|ねり歯磨き
rudeness	無礼
enslave	をとりこにする|を奴隷にする
quorum	定足数
subjectively	主観的に
smartly	厳しく|こぎれいに|すばやく|ひどく|強く|抜け目なく|利口に
reticulum	細網
pretentious	うぬぼれた|気取った|もったいぶった|偽りの
preconceive	〜‘を'あらかじめ考える|‘を'予想する
lactation	乳の分泌|授乳期間
anaesthesia	感覚がない|感覚喪失
verifiable	検証できる
anonymously	匿名で
flirtation	(男女の)ふざけ|いちゃつき|浮気
typhoid	腸チフス
diarrhoea	下痢
voicemail	ボイスメール
intravascular	血管内の
implacable	無情な|なだめがたい|無慈悲な|和解しにくい|執念深い|不倶戴天の
finesse	策略|技巧|策略を用いる(発音(finess))|巧妙な処理|術策
jerky	乾燥肉|ぐいと動く|がたがた動く|つっかえがちの|(米)ばかな|ぶざまな
hearken	傾聴する
undecided	決心がついていない
nobly	貴族らしく|気高く|立派に|堂々と
afield	家を離れて|戦場に(へ)|常軌を離れて
lifeline	命綱
defensively	防御的に
conflagration	大災害|大火災|(正式)花火
defamation	中傷|名誉毀損|悪口
overcast	曇った|憂鬱な
affectation	見せかけ|ふりをすること|気取り|てらい|きざ
malformation	障害ある|奇形|不格好な
piazza	広場|市場|ベランダ|回廊
pedicle	=pedicel
contraband	密輸品|禁制品|輸出入禁止品|輸出入禁止の
yon	あそこに|あそこの|向こうに見える|反対側の(=yonder)
heretical	異端の|異教の|異説の
ulterior	向こう側にある|潜在の
pyramidal	ピラミッド形の
unsolved	未解決の
indeterminacy	不確定(性)
cuckoo	カッコウ|気が狂って|ばかな
incongruity	不調和|不一致
botanist	植物学者
informer	通知(密告)者|情報提供者
extort	強要する|ゆすり取る|こじつける
postural	体位の
usurp	(権力･地位を)奪う|横領する|不法使用する
piecemeal	ひとつずつ|少しずつ|漸次に|ばらばらの|切れ切れに
prowl	うろつく
harshness	厳しさ
sensuality	官能性|肉欲にふけること|好色
vehemence	熱心|熱意|熱情|激しさ|猛威
myocardium	心筋
puke	吐く|吐いたもの
amalgamation	合併|融合|アマルガム化|合同|混合物|合同体
evidentiary	証拠
unsalted	無塩の
plaintive	悲しげな|哀調に満ちた|哀れな|憂鬱な
credential	資格認定の|推薦状|信任状|保証書
peroxidase	有害物質を酸化的に切断して2つのヒドロキシル基に分解し|無害化する酵素
irreparable	回復できない|取り返しのつかない|不治の
faucet	(水道などの)じゃ口|コック|飲み口|蛇口|水道栓
manslaughter	過失致死罪|故殺(murderより殺意が明確でない|結果殺人)
lithe	しなやかな|柔軟な
inadmissible	許せない
takeoff	離陸
orgy	乱飲乱舞の酒宴|馬鹿騒ぎ|乱交パーティ
prudential	慎重な|分別のある|万全を期する|自由裁量権を持つ|慎重な考慮(を要する事柄)
immunological	免疫学的な
titration	滴定
disclaim	〈責任・関係など〉‘を'否認する(deny)|〈法律上の権利など〉‘を'放棄する
fanatical	狂信的な
grimy	垢じみた
agnostic	不可知論の|独断的な意見にとらわれない|寛容な
ineffable	言いようのない|言いようのないほど大きい|言語に絶した
acclaim	に喝采する|大声で言う|歓呼
subcontinent	亜大陸
chore	家庭での雑用|雑用|雑役
neoplasm	(体内にできる)新生物|腫瘍
forbearance	辛抱|自制
warlord	(特に|群雄割拠の国の)将軍
causally	因果
confederation	連盟|連合|同盟
succulent	汁の多い|多肉多汁の植物
scooter	スクーター
empathize	感情移入する|共感する
confrontational	対立的な
dynastic	王朝の
idiotic	馬鹿な|ばかげた
traditionalist	伝統主義者
tireless	疲れを知らない|疲れの見えない
postage	郵送料金|郵便料金|郵税|とても狭い場所
fanaticism	狂信(的な行為)|熱狂
surgically	外科的に
denigrate	けなす|中傷する|黒くする|侮辱する|の人格を傷つける
inkling	ほのめかし|うすうすと感づくこと
immeasurable	測りえない
alleviation	軽減|(the alleviation of tension(s)緊張の緩和)
arson	放火(犯)
diabolical	悪魔の(ような)|極悪非道の|不愉快な
gable	切妻
eater	経口的薬物常用者|食べる人|大食漢|腐食物
underwrite	(海上)保険を引き受ける|(ある危険を)保険する|(発行株式･社債)引き受ける
sitter	baby-sitter|ベビーシッター|看護人|付き添い人|モデル|座る人|卵を抱くめんどり
dole	困窮者への分配金･物|慈善的分配|施し物|失業手当
solidity	堅固であること
aerodynamic	空気力学の|空力的な|航空力学的な
vengeful	執念深い
aural	耳の
minimalist	(政治権力･目標を)最小限に抑えようとする人
sabre	サーベル|軍刀|をサーベルで切る|saber
dismount	おろす|降りる
prom	(口)(特に高校･大学などで公式に行う)ダンスパーティー
covet	切望する|むやみにほしがる|むさぼる
prodigy	非凡の者|天才|奇才|神童|非凡
thorax	胸|胸部
shirk	避ける|を回避する|責任逃れする
affix	添付する|貼る|捺す|加える|添加物|接辞
rapt	心を奪われた|うっとりした
adage	ことわざ|格言|古諺|諺
schizophrenic	統合失調症の
montage	モンタージュ(技法)
rouge	ルージュ|紅|頬紅|赤色の|口紅
leaden	重い|鉛色の
cinder	灰|(薪･石炭の)燃え殻
repudiation	放棄|拒絶|否認|離婚
dilatation	拡張
necrotic	壊死の
aesthetically	審美的に
unjustified	不当な
lib	(〜)解放(liberation)
pheasant	キジ|雉
fillet	ヒレ肉(肋骨と腰骨の間の最上肉)|(魚肉の骨なしの)切り身|鉢巻き
hitter	打者
mace	鎚(つちほこ|中世の棒状の武器|敵の鎧を打ち砕くのに使用)|催涙ガス
artful	巧妙な|ずるい|人工の|人為的な
magnanimous	寛大な
felon	重罪犯人
infatuate	〈人〉‘を'夢中にする|有頂天にする《+『名』〈人〉+『with』+『名』》
prolongation	延長|延長した部分|延長形
guarantor	保証人
upfront	先行
extrapolate	外挿(がいそう)する|推定する|ある既知の数値データを基にして|そのデータの範囲の外側で予想される数値を求めること|(補外ともいう)|その手法を外挿法という
babysitter	ベビーシッター|駆逐艦
irreconcilable	和解できない|妥協できない|矛盾して|非妥協派の人|両立しないもの
militarism	軍国主義|軍人魂
birthright	生得(せいとく|しょうとく)権|生まれながらに持っている権利|(例|米国領土内で生まれた子は市民権条項(Citizenship Clause)により自動的に米国市民権を持つ等)
foreword	はしがき|序文
superoxide	スーパーオキシド|超酸化物|化学式がO2-で表されるスーパーオキシドアニオンを含む化学物質の総称|一般に活性酸素と呼ばれる
cuss	のろい|悪口|やつ|野郎
affluence	豊富|裕福さ
adherent	固守する|付着性の|付着した|関係した|加盟した
litany	嘆願|退屈な話|呪文のように繰り返すこと
nearness	(〜への)近さ|接近|近似《+『to』+『名』》
secretory	分泌腺
exporter	輸出業者|輸出の
wicker	邪悪な|小枝|枝編み細工
formless	形のない|無定形の|ぶざまな|ぶかっこうな
intelligently	知的に
royalist	王党派
savagery	野蛮(未開)状態|凶暴性|残忍|野蛮な行為|蛮行
shapely	形のよい|均整のとれた
pant	息を切らす|あえぐ|熱望する|どきどきする|をあえぎながら言う|ズボン|パンツ
taker	受け手|受取人|(挑戦に)応じる人|買い手|消費者
citrate	クエン酸塩
drawl	音を長く延ばして言う
eulogy	(時におどけて)賞賛の言葉|賛辞|(特に追悼の)賛美
android	人造人間
unattended	付き添いのない
repellent	人を不快にさせる
petal	花弁|花びら
dutiful	従順な
savory	薬味のよく効いた|味がよい
unambiguously	明確に
undercurrent	下層流
dissident	意見を異にする(人)|反体制の(者)
baggy	だぶだぶの|(baggie食料保存袋|buggyバギー)
immobility	不動(性)|固定|静止
organically	有機的に
gymnastics	体操
unman	〜‘の'勇気をくじく|〜'を'めめしくする
mater	脳膜|おっかさん
conceivably	考えられる限り
triage	優先順位(を付ける)
headway	前進|進歩
inconsequential	連絡のないこと|とるに足らない|論理的でない
concoction	スープ|調合|でっち上げ|作り話
jetty	突堤|防波堤|桟橋|pier|漆黒の
adornment	装飾品
scrupulous	良心的な|几帳面な|実直な|きちょうめんな|周到で|綿密|細心の
tungsten	タングステン(金属元素;化学記号は W)
plywood	ベニヤ合板|合板
solicitude	気遣い|心配事|憂慮|配慮
behest	命令|依頼
senescence	老化|老齢|老境
spline	スプライン曲線|いくつかの点を結ぶ滑らかな曲線の一種|3次スプライン曲線は各点の間を3次関数で表現し|点での接続が滑らかになるようにしたもの
lingual	言語の|舌の
sixpence	6ペンス
perishable	だめになりやすい|腐りやすい|滅びやすい|(複数形で)腐りやすい食品
raccoon	アライグマ
banishment	追放|国外追放|島流し
seabed	海底
infirmary	診療所|小病院
heartbreaking	(物事が)胸も張り裂けんばかりの|飽き飽きする
workday	平日の|平日|仕事日|勤務日|1日の就労時間
confessor	(信仰)告白者|ざんげ者
metrical	韻律の|韻文の|測定の|測定に用いる
disobedient	服従しない
tillage	耕作|耕作地
parentage	生まれ|家系|家柄|親であること
mime	物まね師|パントマイム|真似る|パントマイムで演じる
vindictive	復讐心のある|悪意に満ちた|執念深い|spiteful
histology	組織学
acquaint	知り合いになる|知らせる|伝える|分からせる
ureter	尿管(じん臓から膀胱(ぼうこう)に尿を送る筋肉質の管)
armistice	休戦|停戦(条約)
extradition	(犯人)引渡し
extractive	抽出する|抜き取る|引き出す;抜粋的な
ataxia	運動失調
marketable	市場向きの|売れる
atrocious	残虐な|極悪な|たちの悪い|ひどい|不愉快な
arrhythmia	不整脈
clammy	冷たくべとべとする|じとじとする
regressive	逆進的な|後退の|退行する|退歩する|後ろ向きの|時代に逆行する
breakage	破損
underfoot	足もとに
shaker	振る人(もの)|シェーカー
zucchini	ズッキーニ(西洋カボチャの類)
bequest	遺贈|遺産|伝わったもの|遺贈物|形見
hoax	人をかつぐこと|いたずら|でっち上げ
locket	ロケット(首飾りにつける) (飛ぶロケットはrocket)
neurosis	ノイローゼ
grouse	ライチョウ|不平を言う|雷鳥の類
acetylcholine	アセチルコリン|神経伝達物質の名称|コリン(choline)の誘導物である
topographic	地理的
ebony	(ほめて)漆黒の|真っ黒の|黒檀(こくたん)(の)
disclaimer	否認|放棄|棄権|放棄(否認)声明書(文)
soprano	ソプラノ(女性の高音部歌手)
gallbladder	胆嚢(胆汁をたくわえる)
arctic	北極(地方)|Arctic北極の
lapel	襟の折り返し
motorist	自動車を乗り回す人|運転手|オーナードライバー
psychotherapist	精神分析医
salutary	健康によい|有益な|健康回復によい
folate	葉酸|ビタミンM|ビタミンB9|プテロイルグルタミン酸とも呼ばれ|水溶性ビタミンに分類される生理活性物質
constitutionality	合憲性
cerebrospinal	脳脊髄の|中枢神経系の
stalker	ストーカー
flair	勘|傾向|直感|ひらめき|第六感|嗅覚|識別力|素質
impressively	印象的に
curd	凝乳|乳が固まったもの
bluster	怒号|荒れ狂う|猛り狂う|どなりちらす
inelastic	弾力のない
transpire	明らかになる|漏れる|発散する
foretell	予言する
meteorite	隕石
egregious	実にひどい|言語道断な|著しい|顕著な
larva	幼生|larva(複数形はlarvae)|卵生で変態する動物について|「孵化から変態まで」の形態を幼生という
theorize	理論づける|理論をたてる|空論にふける
hardcover	堅表紙(本装訂)の(本)
steeple	尖塔
giraffe	キリン
intercom	内部通話(装置)|インターホーン
synchronize	同時進行させる|同時に起こる|を同調させる
sanctify	神に奉納する|を神聖にする
effortless	たやすい|楽な
precipitous	切り立った|険しい|絶壁の|崖のような
alphabetical	アルファベットの
cava	静脈
ellipse	長円形|楕円(だえん)
celibacy	独身|独身生活|独身主義
mnemonic	記憶の(を助ける)
preempt	相手を封ずる|先制する|先取する|先買権で購入する
detoxification	解毒|無害化
sociability	社交性|交際じょうず;交友を好むこと
arthroplasty	関節形成
fibrin	フィブリン|繊維素(線維素)|血液凝固に関わるタンパク質
defraud	から詐取する|だましとる
flue	引き網|煙突|排気筒
brunch	ブランチ･朝食を兼ねた昼食
mammary	おっぱい|乳房の|乳房状の
cleanly	きれい好きな|清潔に
smite	襲う|悩ます|をなぐる|を罰する|ぶつかる|強打(する)
unrecognized	認められていない
estradiol	エストラジオール(ホルモンの名)|胎盤や精巣間質細胞が出す尿中のエストラジオールや女性ホルモンが|下水道に流れ魚類が雌雄同体化するなど環境問題化
indiscretion	無分別|無思慮|軽率
inscribe	石碑|金属板|紙|心|記憶に記す|銘記する|(署名して)贈る|名を名簿に登録する|(幾何)内接させる|株式|債券を発行する|株を売る|買う
speciation	種の分化|形成
