pacer	ペースメーカー
letterbox	=mailbox
halal	ハラール|ハラール|ハラール
polemic	論争の|論客|論争
dietician	栄養学者|栄養士|食事療法士
roadhouse	街道沿いの旅館|居酒屋
minefield	地雷(機雷)敷設面|地雷原(機雷)原
doublet	(文法)accusative case対格|名詞がもつ格のひとつ|他動詞の直接目的語を示す時使われる(ご飯を作る|など)|対格は全印欧語族に存在
recklessly	無謀にも
phospholipase	リン脂質を脂肪酸とその他の親油性物質に加水分解する酵素
transformative	変形させる
anhydrous	無水
germplasm	胚(はい)原質|生殖質|遺伝資源
parkin	パーキン|(オートミール･ショウガ･糖蜜で作るケーキ)
unmoderated	not made less extreme; "spoke with unmoderated harshness"|not made less extreme
roan	(馬などが)あし毛の|あし毛の動物(特に|馬)|あし毛色
blimp	小型飛行船|でぶ|ブタ|頭の固い保守的な人
ravioli	ラビオリ(こまぎれ肉を小麦粉の薄皮で包んだ料理)
cropland	耕作に適した土地
trundle	ごろごろ動く|転がす
periwinkle	[ツル]ニチニチソウ
racy	ちょっときわどい|きびきびした|本場の
haystack	干し草の山|hayrick
flit	かろやかに飛ぶ|ひらひら飛回る
topsoil	表土
spate	大量|豪雨|大水
hypnotist	催眠術師
retransmit	再送
screech	かんだかい声(をあげる)|金切り声(で叫ぶ)|ブレーキをきーっとかける(音)|キーッ
domestication	家畜化|野生動物の家畜化
outwardly	外面的に
tumultuous	騒然とした|騒動を起こす|騒々しい|ひどく興奮した
symbiotic	共生の
wattle	(鶏などの)肉垂(にくすい)|ワットル(マメ科アカシア属(Acacia)の総称|黄色の花が咲く大木|オーストラリアの国花)|編み枝(細工)
zany	道化師|ばか者|おどけ者|おどけた|ばかげた
squirter	(液体の)噴出器|噴霧器
polyvinyl	ポリ［重合］ビニールの・ポリビニールの
ganglion	(gˈæŋgliən)(複|ganglia)|神経節|ガングリオン|結節腫(主に手首にできる良性の嚢腫)|知的･産業的活動の)中心|中枢
unimaginable	想像できない
gavel	(議長･裁判官･競売人などが静粛を促すときに卓上をたたく)小槌
moonshine	(俗)密造ウイスキー
centimeter	センチメートル
idolatry	偶像(邪神)崇拝|盲目的崇拝|心酔
nonprescription	purchasable without a doctor's prescription; "nonprescription drugs"; "an over-the-counter cold remedy"|purchasable without a doctor's prescription
firework	花火|才気のひらめき
favourably	好意的に
vigorish	an exorbitant or unlawful rate of interest|a percentage (of winnings or loot or profit) taken by an operator or gangster
involuntarily	無意識に|思わず知らずに
coleoptera	beetles
aggravate	悪化させる|怒らせる|悩ませる
adoptee	里親
grandmaster	チェス名人|《G- M-》(騎士団・友愛会などの)団長|会長
historiography	歴史学|史書|(記録された)史実|(厳正な)歴史記述|正史
militarism	軍国主義|軍人魂
glassy	どんよりした|ガラス状の
gash	深傷|長く深い切り傷
shrill	鋭い音を出す|鋭い|かん高い
hryvnia	the basic unit of money in Ukraine
homozygous	ホモ接合型|同型接合体とも呼ばれ|遺伝学で二倍体生物のある遺伝子座がAA|aa のように同じ対立遺伝子からなる状態のこと
guillotine	断裁機|ギロチン|断頭台|ギロチンの刑|打ち切る
discussant	討論者
utensil	器具|(台所･酪農場などの)道具
stopover	途中下車の
misfit	合わないこと|不釣り合い|不適任者
afflict	苦しめる|悩ます
quotable	引用する価値のある
teg	two-year-old sheep
sterol	ステロール
zirconium	ジルコニウム(金属元素;化学記号は Zr)
alternation	交代|交互
naturalistic	自然のままの|自然を模倣する|自然誌研究の|自然主義の|博物学の
dogmatic	独断的な|教義上の|教理に関する|独断主義の
rectification	改正|修正|調整|(化学)精溜|(電気)整流
foodie	食い道楽|グールメ|グルメ|エピキュリアン|美食家
surly	険悪な
preeminent	卓越した
swoon	気絶(する)|次第に消えていく|衰える
nonparametric	ノンパラメトリック|(統計用語)母数によらない|統計のパラメーターに関わらない
consignee	(商品の)荷受人;受託者
mistral	(仏語)ミストラル|フランスの地中海岸に吹く北風
admirer	賞賛者|崇拝者
gringo	(中南米地方で)外国人|特に英米人(軽蔑的)
wanderlust	旅行熱|放浪癖
decentralisation	ディセントラリゼーション|集権排除|分散
immediacy	直接|直接性|即時性|直感|直覚
aviary	(大きい)鳥のおり|鳥類飼育場
candor	率直|正直|虚心坦懐|率直さ|公平無私|親切|白さ|純真無垢
gasification	ガス化
sundae	サンデー|トッピングが載ったアイスクリーム
assassinate	暗殺する
pinewood	松材|松林
tangential	接線の
croissant	クロワッサン|三日月パン
pucker	しわを寄せる|ひだ
homily	説教|訓戒|くだくだしい小言
glebe	〈U〉《詩》土|土壌|〈U〉〈C〉(またglebeland)《英》小教区教会耕地|聖職領畑地
geneve	ゲンフ|ジュネーブ
maelstrom	大渦巻き|大動揺|大混乱
scuttle	やめる|急いで行く|ほうほうの体で逃げる|小窓|石炭入れ|バケツ
salami	サラミソーセージ
dank	じめじめした|湿っぽくてうすら寒い|湿っぽい
affectionately	愛情をこめて
dodgeball	ドッジボール
uneducated	教育を受けていない|無教育の|無学の
alopecia	脱毛症
singaporean	an inhabitant of Singapore|of or relating to the island nation of Singapore and its people; "Singaporean rubber"|of or relating to the island nation of Singapore and its people|of or relating to the city of Singapore; "the Singaporean main street"|of or relating to the city of Singapore
anchovy	アンチョビー(地中海原産のカタクチイワシ科の魚)|その塩漬|オリーブ漬
beachside	浜辺の
proportionately	比例して
bothersome	面倒な
draconian	(法律など)(きわめて)厳しい|苛酷な
pupa	さなぎ
approver	承認者
cowbell	牛鈴(牛のいる場所がわかるように牛の首につるした鈴)
articular	関節の
gwynn	English comedienne and mistress of Charles II (1650-1687)
sandstorm	砂あらし
mete	を割り当てる|分け与える|計測|計量
turban	ターバン(回教徒が頭に巻く)|ターバン風婦人帽
duchy	公爵領|公国
autocorrelation	自己相関
wadi	ワジ|かれ谷(アラビア･北アフリカ地方の雨期以外は水がない谷川)
fain	喜んで|快く|(I would fain give up the sword|棄つべきものは弓矢なり)
guanine	グアニンは核酸を構成する5種類の主な塩基のうちのひとつ|グアニンから誘導されるヌクレオシドはグアノシン|魚類の銀白色部位を構成する主要成分である
firecracker	爆竹|爆弾|爆筒|癇癪玉|魚雷
cruelly	残酷に|残酷|無情
tapioca	タピオカ(cassavaの根からつくった食用でんぷん)
semantically	意味的に|意味の点で|意味上
baryon	重粒子|バリオン
valkyrie	ヴァルキリー
drowsy	眠けを誘う|眠い
unproven	証明されていない
bushel	ヤード･ポンド法における体積(容積)の単位|液体の計量には用いられず|乾量|特に穀物の計量に用いられる|約35 リットル
myocardium	心筋
nightline	ナイトライン
trice	瞬間
cursive	(筆跡が)続け書きの|筆記体の|筆記体の文字(活字)
admonition	警告|説諭|訓戒|勧告|忠告
sedition	扇動|騒乱
photosynthetic	光合成の
ghastly	青ざめた|恐ろしい
vaudeville	寄席演芸|ボードビル|軽い喜歌劇
unapproved	承認されていない|認められていない
muslin	モスリン(木綿や羊毛などの梳毛(そもう)糸を平織りにした薄地の織物)|綿モスリン|キャラコ(インド産の平織りの綿布)
mumble	(口の中で)もぐもぐ言う|ぶつぶつ言う|つぶやく
rhinoceros	サイ(犀) rhino
aberrant	正道をはずれた|常軌を逸した|異常な
stalemate	行き詰まらせる|引き分け|手詰まり|行き詰まり
inquisitive	せんさく好きの
earner	儲かる仕事|儲けになる仕事|稼ぎ手|稼ぐ人|取る人|賄賂
deflate	の空気を抜く|空気を抜く|収縮させる|(反)inflate
coinage	貨幣鋳造|貨幣制度|新語|新造語
menagerie	野生動物|野生動物園
thrombin	トロンビン|蛋白質分解酵素のプロテアーゼの一種|血液凝固の際に水溶性のフィブリノーゲンを不溶性のフィブリンとする作用を持つ
laminar	層流の
scold	がみがみ女|説教する|叱る(rebuke)
apprehensive	心配した|心配して|理解力の鋭い
toga	トーガ(古代のローマの外衣)|(裁判官･教授)職服
perpetuity	永続|不滅
landfall	陸地接近|地滑り|山崩れ|圧勝
methyltransferase	メチルトランスフェラーゼ|メチル基を供与体から受容体へ転移させる転移酵素の一群
laity	信者たち|しろうと連|俗人連|平信徒
purposefully	意図的に
broadside	舷側(げんそく|船体の側面|ふなばた|ふなべり)
sedate	落ち着かせる|平静な
itinerant	巡回する|巡歴の|遍歴中の
reelection	改選|再選
rescission	(law) the act of rescinding; the cancellation of a contract and the return of the parties to the positions they would have had if the contract had not been made; "recission may be brought about by decree or by mutual consent"|the act of rescinding|the cancellation of a contract and the return of the parties to the positions they would have had if the contract had not been made
vitreous	ガラス質の
litany	嘆願|退屈な話|呪文のように繰り返すこと
coloration	着色(法)|色合い|血色|天然の色|音声の調子|考え方|態度
aliquot	(ælɪkwɒt)|(数学)割り切れる|約数の|(名詞)アリコート(全体から取り出した一部の試料)|分割量|(動詞)(数･量が)等分される
countable	数えられる|数えられるもの|可算名詞
colostrum	初乳
crematorium	火葬場
dearth	欠乏|払底|飢饉
palatable	趣味にかなう|心地よい|(食べ物などが)味の良い|口に合う
idiocy	白痴
tarmac	タールマカダム(砕石とタールの混合物)|タールマック舗装道路|駐機場
artefact	加工物
expository	説明的な|解説の|釈義的な
instinctive	本能的な
restlessness	落ち着きのなさ
burlesque	パロディ|漫画|おどけた|道化の|戯作的な
impinge	侵害する|ぶつかる|突当る|打つ|突き当たる|衝突する
rickey	リッキー|アルコール性飲料と炭酸水の中にライム果汁を入れたもの
tankard	(ふた･取っ手つき|陶器|金属製の)大コップ
socialite	(しばしばけなして)社交界の名士|(社交界の)名士
ethnology	民族学|文化人類学|人種学
menorah	(ユダヤ教でおもに宮清めの祭り(Hanukkah)に用いる)大燭台
taut	張りつめた|ぴーんと張った
dimple	えくぼ|ディンプル
doing	すること|行為|小さいもの
foolishness	愚かさ
centrifugation	遠心分離
unequivocal	あいまいでない|はっきりした
spiny	とげのある|とげの多い|とげ状の|取り扱いにくい|厄介な
dropkick	ドロップキック(ラグビー・アメリカンフットボールなどで球を地上に落とし|はね上がりぎわをけること)
silken	絹の|(絹のように)柔らかな|光沢のある|絹を着た
bazar	バザール|デパート
newsworthy	報道価値のある
defs	definitions
sensitization	感性の
hyperactive	異常に活発な
antenatal	=prenatal|《英》出産前の診察
hemophilia	血友病(血液の凝固力が弱く出血しやすい病気)
kola	コーラ|ヒメコーラの木|アフリカ原産のアオギリ科の常緑高木|種子(kola nut)を採るために熱帯で栽培される|=cola
seepage	浸出
hie	(hάɪ)急ぐ
enjoin	に命じる|禁止する(enjoin a demonstrationデモを禁ずる|enjoin silence沈黙を申しつける)
nonviolence	非暴力(の状態)|非暴力主義|非暴力でも
glace	(仏語)(革･布など)なめらかな|砂糖をまぶした
elegy	エレジー|挽歌|悲歌|哀歌
technicolor	天然色映画法|テクニカラー(商標名が普通名詞化したもの)
needlessly	不必要に
cordially	心から
popper	入質する人|サッと動く人|ひょっこり来る人|ポップコーンを作る器具|花火|ピストル|砲手
headpiece	兜|帽子|頭|頭脳
botanist	植物学者
bub	若いの|きみ|おっぱい|赤ん坊
dodo	ドードー(Dodo)は|マダガスカル沖のモーリシャス島に生息していた絶滅鳥類|目撃例が途絶え1681年に絶滅したとされる
thm	a master's degree in theology
seabed	海底
rectory	牧師の住宅|牧師館(官舎)
officiate	職務を行う|式の司祭を勤める
iliad	イリアス
erythrocyte	赤血球
unobtrusive	控えめ
myelin	ミエリン|(神経科学)髄鞘|myelin sheath(ミエリン鞘|しょう)|脊椎動物のニューロンの軸索周囲の絶縁性リン脂質の層|神経パルスの電導を高速にする機能がある
fragility	もろさ|脆弱さ
mobster	暴力団の一員|暴力団員|ギャングの一員
wrest	ねじる|をもぎ取る|苦労して得る|ねじり|ひねり
lav	手洗|御手洗い|手洗い場|洗面所|手洗場|ご不浄|手水場|雪隠|ラバトリー|用場
detoxify	〜‘の'毒性を除く
woodcut	木版(画)
dramatist	劇作家
cutaway	(内部を見せるため)外側の一部を取り除いた模型･舞台装置など|(モーニングなど)前すそを斜めに裁った上着
herringbone	杉あや(矢はず)模様(織物・寄せ木・石畳などの模様に用いる)|杉あや(矢はず)模様の
afoot	徒歩で|進行中で|起こって|計画中で
oddity	風変りなこと
moorcock	male red grouse
lolly	(=lollipop|ペロペロキャンデー)|木製の棒についたアイスクリームまたは氷菓子|(=lolli)|(俗語)金(かね)
auspicious	幸先の良い|縁起の良い
hotly	熱く
coincidental	偶然一致する
vaseline	ワセリン
strontium	ストロンチウム(金属元素;化学記号は Sr)
presumptive	推定上の|仮定の
crustal	of or relating to or characteristic of the crust of the earth or moon
hackman	貸し馬車の御者
comprehensible	理解できる
looper	small hairless caterpillar having legs on only its front and rear segments; mostly larvae of moths of the family Geometridae|small hairless caterpillar having legs on only its front and rear segments|mostly larvae of moths of the family Geometridae
skinhead	スキンヘッド
thorny	厄介な|困難な|いばらの|とげのある|鋭く尖った
unambiguously	明確に
sawdust	おがくず|のこくず
metaphorical	隠喩的な(=fugurative)
alertness	警戒心
sphincter	括約筋
analyte	分析対象の検体
glitz	けばけばしさ|華美
heil	万歳
molding	型で作ること|造形
hotdog	ホットドッグ(細長いロールパンを割った間に焼いたフランクフルトソーセージをはさんだもの)|(替成・喜びなどを表して)その通り|けっこう|すてき
spaceflight	宇宙旅行|宇宙飛行
proportionality	比例
espouse	採用する|支持する|結婚する
vertu	食通
sordid	むさくるしい|汚い|卑しむべき|くすんだ色の|いやしむべき|浅ましい
medico	医師|医学生
crud	かす|がらくた|屑|無価値なもの|CRUD|データベースの重要4機能(作成Create|読み出しRead|更新update|削除Delete)を表すことば
commie	共産党員
semblance	外見|うわべ|見せかけ|類似
coms	《話》=combination4
woolen	羊毛の|毛織物を扱う|woollen
pneumococcal	肺炎球菌の
yarrow	西洋ノコギリソウ
fickle	気紛れな|移り気な
meatloaf	ミートローフ
clade	a group of biological taxa or species that share features inherited from a common ancestor
plasminogen	プラスミノーゲン(血栓など血液の凝固したものを溶解するプロテアーゼであるプラスミンの前駆体タンパク質)
lukewarm	不熱心な|いい加減な|生ぬるい
rotunda	ロタンダ|円形の建物|円形の広間
asymptotically	漸近的に
duce	首領|指導者|指揮官
crick	筋を違える|寝違える(crick one's neck|twist one's neck|)
faintly	かすかに
indiscriminate	無差別の|見境のない
purine	プリン|プリン
reforestation	再植林
paradoxically	逆説的に
cava	静脈
oligo	オリゴ糖(oligosaccharide)とは|単糖類同士が結合した多糖化合物で|ビフィズス菌などの腸内善玉菌を増やす効果で知られる
accolade	絶賛|栄誉|ナイト爵位授与の儀式
raison	存在理由
interpretative	意味を明らかにするのに役立つ|説明的な
caseworker	社会福祉司
stutter	吃(ども)る|(to speak with difficulty in producing sounds|)
wallow	転げ回ること|転げ回る|のたうつ|ふける|おぼれる
bagpipe	バグパイプ(Scotlandの高地人などの用いる皮袋で作った吹奏楽器)
linac	ions are accelerated along a linear path by voltage differences on electrodes along the path
choppy	途切れ途切れの|関連性のない|絶えず(不規則に)変わる
introspective	自己反省の|内観的な|内省的な
riboflavin	リボフラビン(ビタミンB2またはG)
ubiquity	同時にいたる所に存在すること
vandal	芸術･文化をみだりに破壊する|文化･芸術の破壊者|野蛮人
pretender	要求者|詐称者
dweller	居住者
bitumen	瀝青(れきせい)(天然の炭化水素化合物の総称)
diabolic	悪魔のような
demonstrable	極めて明らかな|明白な|論証できる
fantasize	空想する
rummy	飲んだくれ|ラミー
constructively	前向きに
pollster	(職業的な)世論調査員(担当)
byblos	ビブロス
despicable	軽蔑に値する|卑劣な|卑しむべき|見下げはてた
reactant	反応物(化学反応を受ける物質)
wyvern	(紋章で)飛竜(2本足で翼を持ち|蛇の尾の架空の竜)
dressy	正装向きの
egalitarian	人類平等主義の
curvy	くねくねと曲がった|カーブの|曲がった|曲線の美しい|曲線美の
crucially	決定的に|重大に
facile	愛想のよい|手軽な|容易な|骨の折れない|たやすく得られる
environmentalist	環境問題研究家|環境保全主義者|環境保護論者
cognate	同起源の|同語源の|同語根語|祖先を同じくする|同血族の
spinster	未婚女性(a bachelor girl)|ハイミス|(男性独身者|bachelor|cf|celibate)
mistreatment	虐待
somber	憂うつな|くすんだ|薄暗い|地味な|陰気な|憂欝な
infective	感染性
immovable	動きのない|動かせない|固定した|不動の|静止した|冷静な
amoeba	アメーバ(複|amoebae amoebas)
backscatter	後方散乱
carboxylic	カルボキシル
poinsettia	ポインセチア
awry	間違って|片方に曲がって|斜めに|正道からそれて
iceman	氷屋|氷配達人
superposition	重ね合わせ
subordination	(〜より)下位に置くこと;(〜への)従属|服従《+to+名》
wavefront	ウェーブフロント
parakeet	インコ
unresponsive	反応しない
crappie	small sunfishes of the genus Pomoxis of central United States rivers|small sunfishes of central United States rivers
itemize	箇条書きにする|明細に記す
abolitionist	廃止論者
breakwater	防波堤
tenuous	あいまいな|薄い|細い
lentil	レンズ豆(平マメ|レンズの語源とされる)
stuffy	風通しの悪い|詰まった|面白くない
cocky	気取った|うぬぼれた
pyrite	黄鉄鉱(fool's gold)
beano	=bingo
flamboyant	色鮮やかな|炎のような|燃えるような|派手な
exchangeable	交換可能な
stretchy	伸びる|伸びやすい|伸び縮みする|伸縮性のある|弾力のある|胴の長い|伸び過ぎる
misunderstand	誤解する
haemophilus	インフルエンザ菌|(当初インフルエンザの原因菌とされたがその後否定された|名称のみ残った細菌)
piggyback	抱合せ広告|おんぶ|(子供が大人の)背に乗る
hubris	傲慢|思い上がり(arrogance)|威丈高
neuropsychological	of or concerned with neuropsychology
genitalia	=genitals
damper	調整弁
metalwork	金属製品|金属細工品|(特に学科目の)金属加工
orchestrate	管弦楽に作曲(編曲)する|統合する|結集する|(巧みに)調整する
carelessly	不注意に|不用意に|無頓着に
gravitate	引かれる
elation	意気揚々|盛んな意気|得意|大得意
disincentive	意欲をくじくもの|行動を妨げるもの|行動を抑制するもの|阻害要因|経済成長を阻害するもの|がっくりさせる|意欲をくじく
phonograph	蓄音機
kwai	元
belladonna	ベラドンナ(ナス科の有毒薬用植物)
oddball	変り者
dingle	樹木の茂った小さな渓谷|チリンチリンと鳴る|ビリビリ震える
deplore	ひどく悲しむ|嘆き悲しむ
hydroponic	水耕の
maltreatment	虐待
malaise	不快感|倦怠感
postdoc	a grant that funds postdoctoral study or research|a scholar or researcher who is involved in academic study beyond the level of a doctoral degree
biceps	2頭筋|二頭筋|筋力|筋肉のたくましさ
darrow	United States lawyer famous for his defense of lost causes (1857-1938)
tinderbox	火口箱|火災の危険の高い建物|(一触即発の)危険な場所(状態)
streetwise	世慣れた
rococo	ロココ様式(の)
nucleation	核生成
curmudgeon	意地の悪い人|けちな人
mountainside	山腹
deviance	逸脱
alcove	(部屋の一部を切り込んだ)小部屋|(床の間ふうの)壁の切り込み
quartermaster	(陸軍の)補給係将校|(海軍の)操舵(そうだ)係下士官
foodborne	食中毒|食品媒介
traditionalist	伝統主義者
fondness	優しさ
whet	研ぐ|(刃物)をとぐ|磨く|をそそる|刺激する|研磨
chamois	セーム革|シャモア
snowstorm	吹雪|ふぶき|吹雪のようなもの
multiplicative	乗法
metis	a person in western Canada who is of Caucasian and American Indian ancestry
urethra	尿道
retroactively	遡及的に
stepmother	義母
quip	いやみ|皮肉|気の利いた言葉
emoticon	顔文字
leeward	風下の|風下にある|風下へ(に)|風下|風下の側
mercator	メルカトル
fruitless	無益な
salicylate	サリチル酸塩
ticklish	くすぐったい cf|tickle
goad	突き棒で突く|突き棒|刺激|激励
beneficially	有利
tugrik	ツグルク
ridership	(電車・バスなどの)乗客　特定交通機関の利用者数
athenaeum	学術振興協会|《古》図書館
deceleration	減速
granulocyte	顆粒球(白血球の一種)
instrumentalist	器楽家|演奏家|道具主義者
displeasure	不満
endoplasmic	(細胞内の)内質の
motorised	equipped with a motor or motors; "a motorized wheelchair"|equipped with a motor or motors
antiserum	抗血清(特定の抗原に対する抗体を含む血清)
usefully	役に立つように|有効に
