mosaicism	モザイク現象
transcendentalist	先験論者;超絶論者
fitfully	五月雨
asperity	(気質・態度・語調などの)とげとげしさ|荒々しさ|(気候・生活などの)厳しさ|辛さ|困難
chancy	危なっかしい|危険な|当てにならない|不確かな
imminence	切迫(した事情)
desalt	脱塩
holdfast	留具|留め具
caber	(力試しの競技で投げる)木の柱|柱投げ競技
demur	(特に良心のとがめから)異議を唱える
beachball	ビーチボール
stockinette	メリヤス編み
monstrously	恐ろしく|恐ろしく|怪奇に|ひどく|気味悪く
communicant	聖餐(せいさん)を受ける人|聖体拝受者|(情報などを)伝達する人
spathiphyllum	スパティフィラム属
probabilistically	by the use of probability theory; "we can calculate the position of the particles probabilistically"|by the use of probability theory
accost	呼びかける|話しかける|ことばをかけて近寄る
prophetically	預言(予言)的に|預言(予言)して
neutralisation	中立化|ニュートラル|中立|中和
quirkiness	珍妙さ|奇僻|ひと癖|奇癖|風変わり|一癖|奇矯|奇異|風変り|粋狂
typographer	活版印刷工|活版植字工
fugacity	揮散力|揮散力
diaphanous	透けて見える|透明な|ほのかな|かすかな
flextime	フレックスタイム
fiendishly	悪魔のように|ひどく|大変に
rhombic	resembling a rhombus
burglarize	押し入り強盗をする
orthopedist	整形外科医
goniometer	測角器
equalise	同点にする|同点になる|匹敵|平均|対抗
angulation	アンギュレーション|アンギュレーション
baluster	手すり子(手すり・らんかんの小柱;通例屋外で石造のもの)|《複数形》で=balustrade
peradventure	たぶん|おそらく|《『if』または『lest』の後に用いて》偶然に|ひょっとして
psychobabble	using language loaded with psychological terminology
bedevil	(人を)悪魔に取りつかせる|混乱させる|苦しめる
spermicidal	destructive to spermatozoa
stocktake	an instance of stocktaking; "the auditor did not attend the stocktake or check the valuations"|an instance of stocktaking
earwig	ハサミムシ(寝ている人の耳に入り害をすると考えられた)
radiolocation	電波探知法
ijtihad	イジュティハード
conspecific	an organism belonging to the same species as another organism|belonging to the same species; "cultivated cabbage and wild cabbage are conspecific"|belonging to the same species
arachnophobia	a morbid fear of spiders
speculatively	with speculation; in a speculative manner; "he looked at her speculatively"|with speculation|in a speculative manner
cortege	《集合的に》従者の列|行列|(特に)葬列
autolysis	自己分解
diamagnetic	反磁性の|逆磁気の
contradistinction	(〜との)対比|対照的区別《+『to』+『名』》
terpene	テルペン
baster	a cook who bastes roasting meat with melted fat or gravy|a sewer who fastens a garment with long loose stitches|a tube with a rubber bulb used to take up and release melted fat or gravy in order to moisten roasting meat
manorial	荘園の|領地の
inglorious	不名誉な|恥ずべき
pennisetum	チカラシバ
whereat	《疑問副詞》何に|なんで(at what)|《関係副詞》|《制限用法》[〜に]〜する[ところの](at which)|《非制限用法》そこで|すると(whereupon)
parch	をからからにする|あぶる|をからからに乾かす|を炒る|干上がる|からからになる
misconstrue	解釈を誤る|(人･行為など(の意図)を)誤解する
yid	ユダヤ人
normalizer	正規化器
invar	インバー
amoy	最小値
diviner	巫|占者|占師|占い師|卜者
celandine	クサノオウ(ケシ科の植物)
irreducibly	削減できないほどに
monoplane	単葉飛行機
reify	〈抽象観念など〉‘を'具体化する|具象化する
moonflower	ヨルガオ
recognizably	すぐ分かる
semipro	=semiprofessional
autoloading	半自動
cancan	カンカン踊り(女性が脚を高く振り上げスカートを振る踊り)
insupportable	我慢できない|根拠のない|支持できない|耐えられない
gastrocnemius	腓腹筋
undisguised	あからさまの|むき出しの
plebe	士官候補生
adulteress	姦通した女(人妻)|姦婦(かんぷ)
syntagma	a syntactic string of words that forms a part of some larger syntactic unit
haberdasher	《英》小間物商人|《米》男子用服飾品商人
sugi	杉
decidua	脱落膜
autochthonous	(植物などが)土地原産の|土着の
tenderizer	a substance (as the plant enzyme papain) applied to meat to make it tender
osteology	骨学
lobar	of or relating to or affecting a lobe; "lobar pneumonia"|of or relating to or affecting a lobe
retrogression	後退|逆行|退化
vocalise	話す|陳ずる|言う|発声|言う
macaroon	マカロン(卵白・砂糖・アーモンドなどで作った菓子)
binger	someone addicted to crack cocaine
unalloyed	(感情などが)純粋な(pure)|本物の
ferromagnetism	強磁性
mannerly	礼儀正しい|ていねいな
twangy	(弦をはじいたように)ビーンという|(声が)鼻にかかった
mudguard	(車の車輪の上にある)泥よけ
lactalbumin	ラクトアルブミン
headstall	(馬具の)おもがい(面繋)
ovule	胚珠(はいしゅ)
venial	(罪・過ちが)重くない|許されるべき|ささいな
indiscipline	訓練不足(欠如)|不規律
hansom	つじ馬車(御者台は後部に一段高くなっている)
nonchalance	むとんちゃく|無関心
pentameter	(詩の行の)五歩格|五歩格の詩|五歩格の
windbag	おしゃべりな人|(バグパイプの)空気袋
boarding	板張り
capelin	カラフトシシャモ
worktable	仕事台
pimozide	ピモジド
callously	冷淡に
fiberoptics	the transmission of light signals via glass fibers
dysarthria	impaired articulatory ability resulting from defects in the peripheral motor nerves or in the speech musculature
resoundingly	(音など)鳴り響く|めざましい|顕著な
doubtlessly	疑いもなく|疑いも無く|正しく|まさしく
meathead	《俗》まぬけ|ばか
waterer	someone who waters plants or crops|an assistant who supplies drinking water
lycopodium	ヒカゲノカズラ
utopianism	ユートピアニズム|ユートピア的理想主義|ユートピア的理想論
brocket	small South American deer with unbranched antlers|male red deer in its second year
hepatomegaly	abnormal enlargement of the liver
maladjusted	調節の悪い
caprine	being or pertaining to or resembling a goat or goats; "caprine creatures"; "a caprine strain of virus"; "a caprine voice"|being or pertaining to or resembling a goat or goats
jacobin	a member of the radical movement that instituted the Reign of Terror during the French Revolution
epistasis	エピスタシス|遺伝学において|異なる遺伝子座間の相互作用が一つの形質に影響すること
catechin	カテキン
bombproof	防弾の|爆弾の通らない
dialyze	透析
constrictive	締めつける|圧縮する
stratocumulus	層積雲
proficiently	器用
egis	=aegis
meadowsweet	シモツケソウ(白またはピンクの花をつける)
insincerity	〈U〉不誠実|不まじめ|〈C〉不誠実な言葉(行動)
pokeweed	ヤマゴボウ属
erysipelas	丹毒(たんどく)(連鎖球菌により生じる急性伝染病)
persecutor	迫害する者
cupric	第二銅の|銅を含んだ
slobber	だらしなくやる
manoeuvrability	操縦性
coital	性交の|交接の
acquirement	〈U〉(不断の努力・習慣などによって)(〜を)取得(習得)すること《+『of』+『名』》|〈C〉《しばしば複数形で》(身につけた)学識|技能
unproblematic	シンプル|易しい|わかりやすい|易い|単純|分り易い|単簡|簡易|簡単|分りやすい
landholder	地主;借地人
physicalism	唯物論
nabumetone	ナブメトン
electrodeposition	電着
unvented	not provided with vents
burgher	公民|市民
lacquerware	漆器
archrival	第一級の競争相手|大敵
unstained	汚れのない
lycanthrope	ワーウルフ
pilsener	ピルゼンビール(こはく色の軽い貯蔵ビール)|ピルゼングラス(特にビール用の底が先細りのグラス)
phalaris	a genus of grasses with broad leaves and a dense spike of flowers
ruination	〈U〉破滅|崩壊|荒廃;破産|〈C〉破滅(崩壊)の原因|破滅をもたらすもの
seminiferous	輸精
progressivity	advancement toward better conditions or policies or methods
monocle	単眼鏡|片めがね(目のくぼみにはめて用いる)
undyed	not artificially colored or bleached; "unbleached blonde hair"; "her hair is uncolored"; "undyed cotton"|not artificially colored or bleached
chiasm	キアズマ|交差
spicule	針状のもの|(海綿などの)針骨|針片|(植物の)小穂(すい)状花　交接針
willfulness	我がまま|我侭|わがまま|我が侭|我が儘|我儘
vocalic	母音の|母音を含む|母音のような
circumcise	〜‘に'割礼を施す
salonica	セサロニキ|サロニカ
swampland	沼沢地
calcination	か焼(かしょう)(石灰を焼いて生石灰にすること)
saponin	サポニン
theodicy	the branch of theology that defends God's goodness and justice in the face of the existence of evil
misstate	〜‘に'ついて間違って(偽って)述べる
granulocytic	顆粒球
opaline	=opalescent|〈U〉乳白ガラス
totara	valuable timber tree of New Zealand yielding hard reddish wood used for furniture and bridges and wharves
unclothe	〜‘の'衣服を脱がす|‘を'裸にする
quantitate	定量|定量化する
whap	ぶん殴る|打ん殴る|ぶっ飛ばす|打っ飛ばす
mutualism	共生
snowberry	セッコウボク(北米産のスイカズラ科の低木;ピンク色の花と白い実をつける)
cranch	噛砕|潰す|噛砕く|挽く|粉砕|打ち砕く|噛る|噛みしだく|齧る|碾く
capulin	Mexican black cherry tree having edible fruit|Mexican black cherry
middy	《話》=midshipman|=middy blouse
verdin	アメリカツリスガラ
pervasively	in a pervasive manner
encrustation	(堅い外皮や表面で)覆うこと;覆われている状態|(宝石・貴金属を)ちりばめること
gargantua	a voracious giant in Francois Rabelais' book of the same name
microbrew	地ビール
diathermy	透熱療法(高周波の電流を利用した治療法)
platy	small stocky Mexican fish; popular aquarium fish|small stocky Mexican fish|popular aquarium fish
malleus	つち骨(中耳の三つの骨のうちで最も外側にある)
conversationalist	座談家|話し好きな人|話し上手
overgrow	《受動態で》〈草などが〉〜‘に'一面に生える|はびこる|〜‘より'大きくなる|はびこる|大きくなり過ぎる
busybody	世話好きな人
unpopulated	居住者のいない|人の住んでいない
chinoiserie	シノワズリ
bedclothes	寝具|夜具(マットまたは敷きぶとん以外のシーツ|毛布|掛けぶとんなど)
perilla	small genus of Asiatic herbs
coastwise	沿岸の|海岸に沿って
sulfadiazine	サルファダイアジン
leatherwork	革細工
impertinence	不適切|無礼
cocobolo	a valuable timber tree of tropical South America
languidly	in a languid and lethargic manner; "the men languidly put on their jackets"|in a languid and lethargic manner
lowboy	低い脚のついたたんす
sedulously	せっせと|勤勉に|入念に
stipendiary	俸給を受けている|有給の|有給治安判事
breadbox	a container used to keep bread or cake in
earworm	音楽が頭にこびりついて離れない現象|耳の中の虫(例え)
christological	of or relating to Christology
voraciously	がつがつ
unemployable	(年齢・欠陥などで)雇えない|雇用できない
hemoptysis	喀血
autoantibody	自己抗体
lateralization	側性
darky	黒ん坊
aplasia	形成不全
mym	a metric unit of length equal to 10,000 meters
pyrrolidone	ピロリドン|一般的な有機溶媒で無色の液体|インクジェットカートリッジ等に使用
isomerism	異性
epinephelus	genus of groupers or sea bass
lutra	in some classifications considered a genus of the subfamily Lutrinae
cyprinus	type genus of the family Cyprinidae: carp
prepubertal	思春期前
rinderpest	牛疫|牛ペスト(家畜の伝染病)
fleabane	ノミヨケ草
devisee	someone to whom property (especially realty) is devised by will
cruddy	汚い
siloxane	any of a large class of compounds that have alternate silicon and oxygen atoms
upraise	《おもに文》〜‘を'持ち上げる|起こす|〈地層〉‘を'隆起させる
disorientate	=disorient
tendentious	(文書･発言)傾向的な|宣伝的な|偏向した
recessional	(礼拝式後)司祭と聖歌隊が退場のときに歌う|(礼拝式後の)退出の賛美歌
workaday	平日の|仕事日の
roundworm	回虫
organdy	オーガンジー|オーガンディー
martensite	マルテンサイト
toxicologic	毒物学的
surveil	keep under surveillance; "The police had been following him for weeks but they could not prove his involvement in the bombing"|keep under surveillance
smasher	強打者|ビューティ|契情|辨天|ビューティー|佳人|小町|弁天|美形|別嬪|シャン|大ヒット|大成功|大当たり
enjoyably	楽しく
thrum	=strum|〈テーブルなど〉‘を'指でコツコツたたく|=strum|(テーブルなどを)指でコツコツたたく《+on+名》|〈大型機械が〉低いうなり音をたてる|つま弾くこと(音);コツコツ[擬声音]
unfruitful	not fruitful; not conducive to abundant production|not fruitful|not conducive to abundant production
loquat	ビワ(=Japanese medlar)|medlarは「西洋カリン」
necrophagia	feeding on corpses or carrion
anthropomorphism	擬人説|神人同形法(人間以外のもの|特に神に人間の形態・属性があるとする説)
whitecap	=white horse
burgle	夜盗する
icterus	黄疸|黄疸
mebendazole	メベンダゾール
townie	resident of a college town not affiliated with the college
tendril	巻きひげ|つる
trapezius	僧帽筋
pneumonic	肺の
nubby	of textiles; having a rough surface; "a sweater knitted of nubbly homespun yarns"|of textiles|having a rough surface
silicide	ケイ化物
baulk	=balk
waterbuck	ウォーターバック
quaff	〜‘を'がぶがぶ飲む|痛飲する|がぶ飲みする|痛飲する|がぶ飲み|痛飲
papery	紙のような|薄い
solemnize	observe or perform with dignity or gravity; "The King solemnized this day of morning"|observe or perform with dignity or gravity|perform (the wedding ceremony) with proper ceremonies|make solemn and grave; "This ceremony solemnized our hearts"|make solemn and grave
depersonalization	離人神経症|離人症|離人症|離人症
tobacconist	たばこ業者|たばこ屋の主人(店員)
meshwork	網細工
westernization	西洋化|欧化
foreshorten	〈物・風景〉‘を'遠近法で描く|〈物体・風景〉‘を'縮小する
pulsatilla	includes a group of plants that in some classifications are included in the genus Anemone: pasqueflowers
colouring	人工着色料|着色料|色|色彩|色相|カラー|色合い|色合|色調|彩り|彩色|呈色
cohere	首尾一貫している|結合する|密着する
quango	a quasi nongovernmental organization; an organization that is financed by the government yet acts independently of the government|a quasi nongovernmental organization|an organization that is financed by the government yet acts independently of the government
licentiousness	不品行|不行状|不行跡|放蕩
grantsmanship	補助金獲得術(方法)
aridity	不毛|無味乾燥
incomprehension	理解していないこと|無理解
unshaken	揺れない|びくともしない
secularisation	俗化
edentulous	having lost teeth
limply	弱々しく
chaffinch	ズアオアトリ(ヨーロッパ産の小型の鳴き鳥)
poundage	没収|留置
loincloth	下帯|腰巻き|ふんどし
madrasa	マドラサ
plainsman	平原(草原)の男の住民
misjudge	の判断を誤る|誤って判断する
combinatory	marked by or relating to or resulting from combination|relating to or involving combinations|able to or tending to combine
cental	センタル|ハンドレッドウェイト
metonymy	代喩|換喩(法)|あるものを密接な関係のある事物や属性で表現する修辞法|kingの代わりにcrownを|the Presidentの意でthe White Houseを用いるなど
charcuterie	a delicatessen that specializes in meats
anaemic	=anemic
euglena	ミドリムシ
proconsul	(古代ローマの)地方総督;(近世の)植民地総督
nonthermal	not involving heat; "nonthermal luminescence"|not involving heat
algren	United States writer (1909-1981)
reduplication	畳語|畳語|畳語|繰り返し
minium	鉛丹
albuminuria	蛋白尿
engagingly	愛想よく|魅力的に
gentility	洗練|上品|生まれの良さ|上流気取り|上品ぶった態度
notepaper	=writing paper2
nearsighted	近視の
laudatory	賞賛の
thiopental	チオペンタール
mudslinging	(特に政治家の)泥試合|中傷|個人攻撃
laminitis	蹄葉炎
ursine	クマの|クマに関する|クマに似た
ciliated	繊毛性
bridgeable	capable of being connected by a bridge or as if by a bridge
suggestively	陰に
rhodonite	a pink or red mineral consisting of crystalline manganese silicate; used as an ornamental stone|a pink or red mineral consisting of crystalline manganese silicate|used as an ornamental stone
cytokinin	サイトカイニン
butterbur	small Eurasian herb having broad leaves and lilac-pink rayless flowers; found in moist areas|small Eurasian herb having broad leaves and lilac-pink rayless flowers|found in moist areas
quadruped	四足(よつあし)獣(通例哺乳(ほにゅう)類)|四つ足の
mamo	black honeycreepers with yellow feathers around the tail; now extinct|black honeycreepers with yellow feathers around the tail|now extinct
woosh	move with a sibilant sound; "He whooshed the doors open"|move with a sibilant sound
honourably	光栄
unexploited	undeveloped or unused; "vast unexploited (or undeveloped) natural resources"; "taxes on undeveloped lots are low"|undeveloped or unused
chivalric	characteristic of the time of chivalry and knighthood in the Middle Ages; "chivalric rites"; "the knightly years"|characteristic of the time of chivalry and knighthood in the Middle Ages
trichloride	三塩化物
applejack	《米》リンゴブランデー(発酵させたリンゴ酒を蒸溜して作る)
lurcher	ラーチャー
womankind	婦人|女性
conformer	配座異性体(Life Science生命科学)
anhinga	fish-eating bird of warm inland waters having a long flexible neck and slender sharp-pointed bill
niter	硝酸カリウム|硝石
cruciferous	of or relating to or belonging to the plant family Cruciferae
pyxis	蓋果|蓋果|蓋果
lymphoblast	リンパ芽球
peacoat	ピージャケット
myometrium	the smooth muscle forming the wall of the uterus
decisionmaker	意思決定者
cecal	of or like a cecum
litoral	リトラル
avionic	of or relating to avionics
palpitation	動悸
haughtily	ごう慢に|横柄に
diffusely	in a diffuse manner; "the arteries were diffusely narrowed"|in a diffuse manner
balkanization	＜Balkan|バルカニゼーション|バルカン化|小国乱立状態
sweetmeat	砂糖菓子|キャンデー|ボンボン;果物の砂糖づけ
taenia	a narrow headband or strip of ribbon worn as a headband|tapeworms parasitic in humans which uses the pig as its intermediate host
orchiectomy	睾丸摘出術
chrysoprase	クリソプレーズ
tousle	〈髪など〉‘を'乱す|もつれさせる
venire	(sheriff に対する)陪審員召集令状;召換状
perforate	〜‘に'穴をあける|‘を'突き通す|〈紙など〉‘に'ミシン目を入れる|(穴で)切り取り線をつける|(〜に)穴をあける|(〜を)貫通する《+『into(through)』+『名』》
bouffant	フワフワした髪型|ふっくらした|膨れた|ダブダブした
klansman	Ku Klux Klanの団員
prolegomena	=prolegomenon
amebiasis	アメーバ症
halberd	ほこやり(中世に用いられた|やりとまさかりを兼ねたもの)
entombment	埋葬
outflank	〈敵〉‘の'側面に回る|〈相手〉‘の'裏をかく|‘を'出し扱く
vouchsafe	〈返事・特典など〉‘を'賜る|与える
hereabouts	このあたりに
blackguard	《軽べつして》げす;悪漢|ごろつき|〈人〉‘に'悪態をつく|〜'を'ののしる
unitarianism	ユニテリアン主義
horsehead	any of several silvery marine fishes with very flat bodies
warplane	軍用機
halcion	トリアゾラム
rhetorician	修辞学者;大げさな言葉を使う人
garrulous	おしゃべりの|口数の多い|饒舌な|多弁な|冗長な
duette	二重奏|デュエット|デュオ|二重奏|デュエット|デュオ
pinchbeck	ピンチベック(銅と亜鉛の合金;金に見える)|偽物
roundhead	a brachycephalic person|a supporter of parliament and Oliver Cromwell during the English Civil War
pyrrhic	a metrical unit with unstressed-unstressed syllables|an ancient Greek dance imitating the motions of warfare|of or relating to a war dance of ancient Greece; "pyrrhic dance movements"|of or relating to a war dance of ancient Greece|of or relating to or containing a metrical foot of two unstressed syllables; "pyrrhic verses"|of or relating to or containing a metrical foot of two unstressed syllables|of or relating to or resembling Pyrrhus or his exploits (especially his sustaining staggering losses in order to defeat the Romans); "a Pyrrhic victory"|of or relating to or resembling Pyrrhus or his exploits (especially his sustaining staggering losses in order to defeat the Romans)
motormouth	someone who talks incessantly; "I wish that motormouth would shut up"|someone who talks incessantly
amontillado	pale medium-dry sherry from Spain
lepomis	bream
batholith	バソリス|底盤|深成岩
bellboy	ベルボーイ(呼びりんに応じて荷物運びや使い走りをするホテル・クラブのボーイ;《米》bellhop)
serviette	ナプキン
photogravure	グラビア印刷;〈C〉グラビア写真
sloppily	だらしなく;いいかげんに
circumscription	制限;境界[線]|周囲;区域|(幾荷で|円の)外接
galatian	a native or inhabitant of Galatia in Asia Minor (especially a member of a people believed to have been Gauls who conquered Galatia in the 3rd century BC)
appointive	任命(任用)による
bencher	(英国で)法曹学院(Inn of Court)評議員
amiably	感じよく
sundog	幻日
deicer	デフロスター
blowhole	(トンネル・地下室などの)通風孔|(クジラの)噴気孔|(鋳物の)気泡(ほう)|(アザラシなどが呼吸するための)氷の中の穴
shoplift	〜‘を'万引きする|万引きする
iconoclasm	the orientation of an iconoclast
fulsome	(お世辞などが|過度のために)飽き飽きする|鼻につく|あくどい|お世辞たらたらの
schmalz	シュマルツ
gauzy	薄織のような|薄く透き通る
ascendance	優越|優勢|優位
knowledgeably	博識に|うんちくを傾けて
whippersnapper	小さな人物|こしゃくなやつ|若造
badmouth	《俗》〜'を'けなす|こっぴどくやっつける
paddlefish	primitive fish of the Mississippi valley having a long paddle-shaped snout
footplate	the platform in the cab of a locomotive on which the engineer stands to operate the controls
longhand	普通の手書き
sonication	超音波処理
tuatara	昔蜥蜴|ムカシトカゲ
marcher	行進者|国境地方の住民
incorrectness	不正確さ
anticline	背斜褶曲(しゅうきょく)(岩石層が中軸より左右側に下方傾斜した地層構造)
gramicidin	グラミシジン
aneurysmal	relating to or affected by an aneurysm
ignitable	引火性
lvii	being seven more than fifty
legerdemain	手品(の早わざ)|ごまかし|虚偽|こじつけ
sleepwalk	簡単なこと|夢中歩行|夢遊する
insectivorous	食虫性の|虫を食う
moated	《名詞の前にのみ用いて》堀で囲まれた(守られた)
scrollwork	うず形装飾|雲形模様
owlet	フクロウの子|小型のフクロウ
amoebic	=amebic
godforsaken	(人が)神に見放された|(土地が)荒れ果てた
dilatory	のろい|遅々とした|遅れた
unco	ずんと|大きに|極々|いとも|一段|殊の他|殊の外|一きわ|ぐんと|至りて
czarist	ロシア帝政の|ロシア皇帝の|独裁的な|帝政支持者
gossipy	(人が)ゴシップ好きの|(会話などが)ゴシップに満ちた
methyltestosterone	メチルテストステロン
incommensurate	(〜と)釣り合いのとれない|不相応な《+『to』+『名』》|(〜とは)比較にならない|同一規準で計れない《+『to』+『名』》
polyatomic	多原子
orogeny	造山作用(運動)
arccos	the inverse function of the cosine; the angle that has a cosine equal to a given number|the inverse function of the cosine|the angle that has a cosine equal to a given number
touchable	触れることのできる
cryptorchidism	停留睾丸
brickbat	(特に人に投げつける)れんがの砕片[に似たもの]|《話》にくまれ口|しんらつな言葉
maginot	マジノ
tabulator	タビュレーター(タイプライターの図表作製装置)
saroyan	サロイヤン
albite	曹長石
ramify	〜‘を'枝のように分ける;〜‘を'網の目のように広げる|枝のように分かれる;網の目のように広がる
heteroptera	カメムシ亜目
passel	多数|大きな数|大集団
laminaria	type genus of the family Laminariaceae: perennial brown kelps
synodical	教会会議の = synodic　会議の　相合の
roomer	(通例食事なしの)間借り人
evisceration	surgical removal of an organ (or the contents of an organ) from a patient|the act of removing the bowels or viscera; the act of cutting so as to cause the viscera to protrude|the act of removing the bowels or viscera|the act of cutting so as to cause the viscera to protrude|altering something (as a legislative act or a statement) in such a manner as to reduce its value; "the adoption of their amendments would have amounted to an evisceration of the act"|altering something (as a legislative act or a statement) in such a manner as to reduce its value
