handler	トレーナー|調教師
lm	ルーメン
applet	アプレット
mambo	マンボ(を踊る)
designate	指定する|指摘する|示す|表す|指名する
legendary	伝説集|伝説の
asylum	亡命|避難|政治犯の庇護|隠れ家|保護施設|避難所|精神病院|孤児院|聖域
intern	拘禁|抑留する|教育実習生|インターン
beautifully	みごとに
hygiene	衛生|健康法
illusion	思い込み|幻覚|幻影|思い違い|錯覚|妄想|幻想
myrtle	ギンバイカ(結婚式等によく使われる)|ツルニチニチソウ 
poultry	家禽類|家禽
immunology	免疫学
departmental	部門の|省|局|課の|軍管区の
cooperate	協同する|協力する
sauna	サウナ|サウナ浴場
embroidery	ししゅう|刺繍
groundwater	地下水
sigh	ため息をつく|ため息(をつく)|嘆く|慕う
insulation	絶縁体|絶縁|絶縁材
streamline	流線型(の)|(仕事･組織など)を合理化する
collaborate	共同する|協力する|共同して働く|共同研究する
zoloft	サートラリン
frankfurt	フランクフォート|フランクフルト
prisoner	囚人|刑事被告人|捕虜
linkage	関連|連関
accession	追加|就任|増加|到達|即位|相続|取得
gown	ガウン|長上着|正服|法服
pier	防波提|桟橋|橋脚|窓間壁
cert	確実なこと|現実に起こること|必ず起きること|本命|本命馬
sufficiently	十分に
iris	(眼球の)虹彩(こうさい)|アヤメ|アイリス
altitude	高度|高さ
conceptual	概念上の
peg	くぎで止める|くぎ|かけくぎ|テントのくい|弦楽器のねじ|洗濯ばさみ
severity	厳格|重大度
loyalty	貞節|忠義|忠誠|誠実
hl	100リットル(=hectoliters)
overflow	からあふれる|氾濫する|あふれる|いっぱいになる|氾濫
artery	幹線道路|動脈
waist	腰のくびれ|ウエスト|胴着|ブラウス
instrumentation	計測(器)
elk	オオジカ|ヘラジカ
balcony	バルコニー
ob	オビ川|産科学|産科|ＯＢ
breathe	(を)呼吸する
congregation	集会|集合|会衆
alley	路地|alley cat 野良猫|おはじき(遊び)
locker	ロッカー|箱|冷凍庫|コインロッカー
constraint	強制|圧迫|束縛
cruiser	クルーザー|巡洋艦
paradigm	語形変化表|パラダイム|模範|典型
ranger	歩き回る人|放浪者|監視人|遊撃隊員
dominate	支配する|著しく目立つ
gut	(弦楽器の)弦|本能的な|本質的な|内蔵|中身|本質|勇気|ガッツ|体力|みぞ|路地|中身を取出す|はらわたを抜く|内部を破壊する
plantation	栽培場|大農場|大農園|植林地|植民地
rogue	わくぱく小僧|悪漢|ごろつき|詐欺師|悪党|いたずらっ子
theta	(第8ギリシア文字)シータ|Θ|θ
subjective	主体の|主観の|主観的な|主格の|主語の
goose	ガチョウ|(人)の尻(股)をつつく
judiciary	司法の
alphabet	アルファベット|初歩
dishwasher	皿洗い器(人)
faint	気絶する|卒倒する|弱々しい|ぼんやりした|弱い|かすかな|淡い|気の弱い
boxer	ボクサー犬|ボクサー
splash	ねる|をはねかける|バシャ|水のはねる音
countryside	田舎
stoke	(感情)をかきたてる|燃料をもやす|火をたく
warfare	戦闘状態|戦争|交戦|闘争|争い
inland	奥地の
granite	花崗岩(かこうがん)|御影石
nonfiction	ノンフィクション
discourse	会談|講演|論文|(文法)談話|話法
racism	民族優越観|人種差別|人種差別主義
oversight	監視|管理|取り締まり|見落とし|手抜かり
lien	先取特権|留置権|担保権
occupy	(場所･地位など)を占める
unused	使用されない|使わない|使ったことがない|新しい|不慣れの
dart	投げ矢|突進する|すばやく動く|飛んで行く|(衣服)ダーツ(ヒダ)をつける
alcoholic	アルコール中毒|アルコールの
daemon	悪鬼|鬼|悪魔(=demon, devil, Satan, fiend)
bestselling	最もよく売れている
aesthetic	(芸術の)美の|美学の|審美的な|趣味のよい|芸術的な
garnet	ガーネット|ザクロ石(1月の誕生石)|暗紅色
feast	祝宴|宴会|ご馳走|祭日|を大いに楽しむ|もてなす|ごちそうになる|ごちそうする
goodbye	さようなら(=goodby)
curl	縮らす|カール|(髪を)カールする
shooter	狩猟者|銃猟者|(連発)銃|写真(家)
justification	正当化
boil	煮えくり返る|沸騰する|ゆでる|沸く|煮沸する
forthcoming	近くにやってくる|すぐ手に入る|積極的な|近刊予定の
oversee	を監視する|を監督する|watch over
postgraduate	大学院生
vitro	in vitro 試験管内で(=生体外で)|in vivo (in the body) 生体内で
consolidate	強固にする|合併整理する|合併する|統一する
complementary	補完的な
trader	伝統的な|貿易業者
nominal	名目上の|名称上の|名詞の|名詞語句
psychic	心霊現象の|心霊の|霊魂の
twilight	たそがれの|薄明かり|夕方|黄昏どき
matte	つや消しの|(色･つやが)鈍い
incredibly	信じられないほど|非常に
crab	カニ|あら捜し屋|蟹|あら探しをする(find fault)
psychiatric	精神医学の
teenager	ティーンエイジャー(語源はteenの付く13才から19才まで)
ankle	くるぶし|かかと|足関節
quake	震動する|揺れる|震える|身震いする|振動する|地震|earthquake
expressly	明白に
clever	利口な|賢い|上手な|得意な
distinctive	独特の
postcode	=zip code
sensation	興奮|感覚|のような感じ|センセーション
unofficial	非公式の|非公認の
privately	個人として|内密に|ないしょで
clash	衝突(する)|ガチャッ(音)|(色彩の点で)調和しない
stall	畜舎に入れておく|(口実をもうけて)言い逃れする|エンストする|立ち往生する|馬房|露店
tripod	三脚
ginger	ジンジャー|精力|元気|生姜(ショウガ)
underwater	水中の
quartz	クオーツ|石英
pirate	海賊|略奪者|を略奪する|著作権を侵害する
kindergarten	幼稚園
pbs	リン酸緩衝食塩水
humour	humorのUK式綴
nay	《古語》否,いや(no)|《文語》そればかりでなく,それどころか|拒絶|否定|反対投票(者)
reactor	(陽性)反応を示す人|反応者|反応器|反応炉|原子炉
jaw	あご
summarize	を要約する
kitten	子猫
probable	ありそうな|ありうる|もっともらしい|有望な
crescent	三日月
burial	葬式|埋葬|墓
erosion	浸食|腐食|目減り
joey	雑役夫|臨時雇い|稚児|幼獣|子カンガルー|女みたいな男|男色者
hacker	ハッカー|他人のシステムへの不法侵入者
supportive	協力的な|支持する
aide	(大統領などの)補佐官|側近|スタッフ
repeatedly	繰り返して|再三再四
urine	尿
athlete	運動選手|競技者
dashboard	泥よけ|ダッシュボード
barber	理髪師
disconnect	ばらばらにする|絶つ|の関係(接続)を断つ|分離する|(電話･電源を)切る
hm	うーん
khan	汗(かん)(モンゴルなどの統治者の称号)|隊商の宿舎
habit	習慣|癖
cancun	カンクン
bach	ヨハン・ゼバスティアン・バッハ
voter	投票者|投票権所有者|選挙人
botanical	植物学の|植物の
capri	カプリ
gemstone	宝石用原石
pumpkin	(植物)カボチャ|セイヨウカボチャ|まぬけ|ぶざまな人
imagery	イメージ|像
stern	厳格な|きびしい|いかめしい|苦しい|断固たる|船尾
colorful	色彩ゆたかな
inadequate	不適当な|不十分な|無力な
toxicity	毒性
socialist	社会主義者|社会主義(者)の
considerably	かなり
mol	モル(物質量の単位)
cough	咳をする|せき|咳
ambulance	救急車
rotten	腐った|不愉快な
lemma	(言語学で)語彙素(lexeme)を代表する基本形
popup	(野球の)ポップフライ
bulb	真空管|電球|球根
furnish	備え付ける|を供給する|を提供する|を装備する
useless	役に立たない|無用な|無駄な
glove	グローブ|手袋
fringe	ふち|へり|周辺|外れ
northwestern	北西の
insufficient	不適当な
occupancy	占有|占拠|領有|居住|使用
fertility	多産|繁殖力があること
incorporation	合体|合併|法人組織|会社(設立)
issuance	発行|交付|発布|配給|給与
enjoyable	楽しい
repayment	(借入金などの)返済
handbag	ハンドバッグ|旅行かばん
compressor	圧縮機
chili	アメリカ産トウガラシ
blossom	(特に果実の)花が咲く|開花する|発展する
permanently	永遠に|不変に|永久に
adhere	執着する|堅く守る|粘着する|支持する
judgement	判断|判断力|分別|裁判|判決|意見
freeman	自由民|公民
ninja	忍者
patience	がまん|忍耐|一人トランプ
await	待つ|待ち受ける|(物事が)待っている
burger	ハンバーガー|かすり傷
flora	(一時代･一地域の)植物相(群)|植物群|植物誌
lever	てこで動かす|てこを使う|レバー|てこ
purchaser	購入者
syllabus	概要|(講義などの)年間計画
vanity	虚栄心|むなしさ|はかなさ|鏡台|化粧テーブル
ingredient	内容物|要素|成分|材料|構成要素|要因
fetch	取ってくる|引出す|(物を)行って取ってくる|取って来ること
tactical	戦術上の|戦術の
hardy	ずうずうしい|大胆な|我慢強い|丈夫な|耐寒性の
equip	に装備する|仕度を整える|備え付ける
analyzer	アナライザー
mansion	大邸宅
het	heatの過去･過去分詞
illustrator	挿絵画家|説明者
bro	兄弟
progression	進行|前進|行程|経過|発達|数列|発展|連続|連鎖
beacon	水路標識|信号灯
wastewater	廃水
plump	どしんと(落ちる)|丸々と太った|ふくらんだ|たくさんの|を太らせる
viable	生存できる|実行可能な|生存能力のある
mosaic	モザイク|モザイクの
anthology	アンソロジー|名詩(名文)選|詩集
neat	さっぱりした|きちんとした|こぎれいな|趣味のよい
differentiate	を他と別のものにする|を区別する|を変更する
poorly	貧しく|不十分に|不完全に|まずく
erase	拭いて消す
denim	デニム(厚地綿布)
hotline	ホットライン
sermon	(教会での)説教|お説教|小言
shuffle	(足)をひきずって歩く|を移し替える
spacious	広い範囲の|広々とした|雄大な
toast	トースト|乾杯(する)
cheek	ほお
archaeology	考古学
beloved	最愛の
sometime	いつか
ballard	バラード
rem	レム(X線のレントゲンのように|人体に与える電離放射線量の単位)
faithful	義務を遂行する|忠実な|誠実な|信頼できる|貞節な
timeout	タイム[アウト](試合の一時中止);休憩
whatsoever	(=whatever)
auxiliary	補助の|予備の|補助的な
fender	フェンダー|緩衝装置|泥除け
noun	名詞
lithium	リチウム(金属元素)
lighthouse	灯台|燈台
mediation	調停|和解
alphabetically	アルファベット順に|ABC順に
allocate	配分する
orchard	果樹園
chandler	雑貨商人
fitting	に適合する
backyard	裏庭|(表庭はfront yard)
trainee	練習生
haul	強く引っ張る|運搬する
quotation	見積書|引用|相場|引用すること|引用文|時価|見積り
anticipate	予期する|予想する
quota	割当量|割当
definitive	決定的な|最終的な
turbine	タービン
vascular	脈管の|血管の|管の
alongside	〜のそばに
entertain	もてなす|楽しませる|楽します
waterfront	海岸の土地|河岸|海岸通り
delphi	神託地|デルファイ(古代ギリシャのアポロンの神話地)
emotion	感動|感情
timetable	時刻表|予定表
slipknot	引き結び(結び目の一方の端を引けばすぐほどける結び方)
mst	山岳部時間
versatile	多方面な|多才な|融通がきく|変わりやすい|八方美人の
organise	組織化する|団結する
profitable	有益な
blocker	ブロッカー|遮断薬|遮断剤|阻害薬
aspen	ポプラの木
derivative	派生した|デリバティブ
laurel	栄誉を与える|月桂樹|栄誉|ゲッケイジュ|月桂冠|勝利
resemble	に似ている
newborn	生まれたての
plush	フラシ天|豪華な
biker	バイクに乗る人
brent	Brent Crudeブレント原油|主にイギリスの北海のブレント(Brent|岩層区分の名)油田から採鉱される|原油の混合(ブレンド blend)ではない
grasp	理解|つかむこと|を握る|を理解する|を掴む
comb	くしですく|くし|波頭|徹底的に捜す
evolutionary	進化した
niche	(人･物の)適所|適性
spinal	とげの|背骨の
scar	傷跡になる|そこなう|傷跡|心の傷跡
telegraph	電信|電信機|電報|電報で～を知らせる|電報を打つ
itinerary	旅行日程表|道程|旅行記|旅日記|旅行案内
hail	歓迎する|を認める|(タクシーなどを)呼び止める|ひょう,あられ
solvent	溶媒|溶解力のある|解決方法|支払能力がある
insult	侮辱する|侮辱
biotech	バイオテクノロジー
unstable	不安定な|安定していない|動きやすい|ぐらぐらする|不安定|今にも崩れそうな|気が変わりやすい
psychologist	心理学者
mickey	元気|誇り|ジャガイモ|をからかう|侮辱する|いじめる|ぺしゃんこにする
worksheet	ワークシート
quartet	四重奏
duplex	重複の|二連の
nelly	安ブドウ酒|おかまっぽい男|女みたいな男
unsecured	安全でない|保証(担保)のない
philosopher	哲学者|哲人|賢人
eb	電子ブック|電子ブック
appropriately	適切に
inactive	活動しない|怠惰な|緩慢な|受身的な
newsroom	ニュース編集室|報道室
brewer	醸造者
supermarket	スーパーマーケット
continuation	延長|継続|連続
barcode	バーコード
cola	〈C〉コーラの木(熱帯産の木)|〈U〉コーラの木の実からつくった炭酸飲料(Coca-Cola, Pepsi Colaなど)
hinge	ちょうつがい|関節|要所|要点|条件にする|決める
blunt	鈍い|無遠慮な|無愛想な|鈍くする
successor	後継者|後任者
absorb	を吸収する
colt	子馬
lateral	側面|横の
curb	(犬などを)鎖で御する|抑制する|留めぐつわ|拘束|抑制|囲い|縁石
therein	その点で
yell	どなる|大声をあげる|鋭く叫ぶ|エールをおくる
shear	を刈る|はさみを入れる|奪い取る|剥奪する|大ばさみ|(羊毛の)刈り込み
rex	国王|王
infinity	無限領域
torch	たいまつ|光|カンテラ
traditionally	伝統的に|古来
soy	大豆|しょうゆ
dew	露|しずく|みずみずしさ
solicitation	懇願|請願|勧誘|誘惑
cane	ステッキ|籐杖
hen	メンドリ|雌鶏|(鳥･魚の)雌|女
limo	リムジン
rotate	回転する
approximation	近付くこと|接近|近似|近似値
suv	a high-performance four-wheel drive car built on a truck chassis
lacrosse	ラクロッス|ラクロス(ホッケーに似た球技)
duplication	重複
dentist	歯科医|歯医者
tomb	墓|墓穴|墓石|墓標|死
hassle	激論|口論|(口)うるさがらせる
homosexual	同性愛の(人)
prof	教授|先生
postscript	追伸|二伸|後書き(P|S)
chew	噛む
unwanted	不必要な
cobra	コブラ
pedestrian	歩行者|徒歩旅行者|徒歩の|歩行(者専用)の|散文的な|平凡な|鎮痛剤
hurry	急ぐ|を急がせる|急ぎ
tailor	仕立屋|洋服屋
papa	パパ|おとうさん
symbolic	象徴主義の|象徴的な|記号による
grief	悲嘆|(深い)悲しみ|嘆きの種
objectionable	反対すべき
simplicity	単純|平易|質素|純真
shutter	シャッター|閉じる人(物)|よろい戸(を閉める)|雨戸
shrimp	小エビ|ちび|とるに足らない物
stroller	ベビーカー|放浪者|vagrant
buckle	バックル|曲げる
gradient	こう配|変化度|勾配
dolby	ドルビー
condominium	分譲アパート|共同管理|マンション
reinforce	部隊を強化する|を補強する|を強める|強化する
plea	嘆願|陳述|弁解|抗弁
drake	雄のカモ(male duck)|カゲロウ(mayfly)|カゲロウ型毛針|人名
semantic	意味の
dia	直径(diameter) cf. 半径(radius)
concurrent	同時の|同時に起こる|同意見の|に伴う|兼務の|共同に作用する|協力の(cooperating)
globalization	グローバル化
paddle	水かき|櫂|へら|ラケット|パドル|をたたく|ラケットで打つ|ぴちゃぴちゃさせる
