whit	ほんの少し|微少
romp	ふざけまわる|はね回る|跳ね回る|走り回る|(スポーツなどで)楽勝する
silverware	銀器|食卓用銀製品
lymphatic	リンパ管
refrigerant	冷却剤(アンモニアなど)|解熱剤
goody	(goodies複数形で)おいしいもの|キャンディー|菓子|アイスクリームなど|特別に魅力のあるもの|(間投詞|特に子供が)すごーい! うれしい! (人名|姓)グディ
delineate	の輪郭を描く|線引きする|絵で表わす|(詳細に)描写する
countenance	に暗に賛成する|表情|外見
pedometer	歩数計|万歩計
shatter	を粉々にする|を打ち砕く|を台無しにする
gist	主旨|要点|骨子
tomahawk	トマホーク|北アメリカのインディアンが使う斧(おの)
alumnus	《米》(特に男子の)卒業生|同窓生
archeology	考古学|archaeology
frisbee	フリスビー
hyperactivity	活動過剰
deforestation	森林伐採|山林開拓|伐採
perverse	つむじ曲がりの|ひねくれた(=crooked)|道理に反する|思いどおりにならない
shearer	シアラー(羊の毛を刈る鋏|人)
dickey	ワイシャツの胸当て|(婦人服の)前飾り|小鳥
backside	後部|しり
tiller	耕運機|耕作者|農夫|舵柄
eukaryotic	真核生物の|(動物|植物|菌類|原生生物など|身体を構成する細胞の中に細胞核を有する生物|真核生物以外の生物は原核生物と呼ばれる)
husbandry	農業|耕作|畜産(=animal husbandry)|飼育|節約|管理|cf|husbandman農場を経営する人(a person who operates a farm)
visibly	目に見えて|明らかに
defunct	現存しない|故～|今は亡き～
broiler	ブロイラー|若鶏
trellis	格子|格子垣
layoff	一時帰休
dodger	ぺてん師|小さいビラ
merciful	慈悲ぶかい|情け深い|慈悲深い|安堵を与える
lollipop	棒付きキャンディー|ペロペロキャンディー
springtime	春(の)|春期
euphoria	幸福(感)|多幸|上機嫌|陶酔
acuity	鋭さ
conifer	針葉樹|球果植物
racecourse	競争路
impressionist	印象派の)画家)|物まね芸人
caballero	(スペイン語)紳士|騎士|乗馬者
requester	依頼者|請求者
jurist	法学者
uncanny	気味の悪い
mane	たてがみ|ふさふさした髪
neurotransmitter	神経伝達物質
enlighten	啓蒙する
eatery	レストラン|簡易食堂|軽飲食店|軽食堂
intramural	〈スポーツ・授業など〉学内だけの|(反|extramural)
curated	精選された|管理された
repel	に抵抗する|を追い払う|を押し返す|を拒絶する|はねつける|追い払う|はじく|いやがらせる|反発する
deteriorate	悪化させる|低下させる|堕落する
mulligan	(米)mulligan stew|マリガンシチュー|肉または魚と野菜のごった煮
noxious	不健全な|有害な
sledge	(また『sled』)《米》(荷物運搬用の)大型そり|《英》=sled1|〜‘を'そりで運ぶ|そりに乗る|そりで行く
trove	収集|(大事なものの)集積|バンク|大事な物を集めている場所|発見されたもの
drowsiness	嗜眠(しみん|意識障害(意識混濁)の程度のひとつ|昏眠ともいう|放っておくと眠ってしまい|強い刺激を与えないと覚醒し反応しない状態)
overhang	におおいかぶさる|の上にかかる|の上に突き出る|差し迫る|突出
reachable	到達可能な
radioactivity	放射能|(空気中の放射能atmospheric radioactivity)
howdy	ハウディ|こんちわ|やあ
eastward	東方へ
haggard	やつれた
northward	北に向かって|北に向かう|北方|北に向いた|北方への|北方へ
archeological	考古学の
logarithmic	対数の
sandalwood	白檀材|ビャクダン
godly	信心深い
distillation	蒸留
decontamination	浄化|汚染の除去
loyalist	忠臣
kimono	着物(日本の伝統衣装)
picky	えり好みをする|(味などに)うるさい|ひどくこせこせした
consort	配偶者|仲間にする|を連合させる
raisin	干しぶどう|レーズン
bibl	biblical|bibliographical
freehand	(絵などを)(器具の助けを借りずに)手でかいた|手がきで
bastion	とりで(となる人･もの)|要塞|稜堡(りょうほ)|防衛
sunburst	(雲間から差す)強烈な日光|光り輝く宝石(装飾品など);日輪型花火
nameless	名もない|無名の|匿名の|父のない
sociologist	社会学者
copywriter	広告案内作者
numerator	(数学)分子|(例文|分子が分母と等しいか分母より大きい分数 a fraction whose numerator is equal to or greater than its denominator)
zed	=zee
musically	音楽的に
indebted	感謝している|thankful|負債がある
groundhog	マーモット(marmot)|ネズミに似た動物
reinstate	(秩序などを)元に戻す|回復する
mucosa	粘膜
breakpoint	ブレイクポイント
knack	こつ
alienate	遠ざける|疎遠にする|(財産など)を譲渡する
gammon	たわごと|でたらめ|ごまかし
abscess	膿瘍(のうよう)|生体組織内に|崩壊した好中球由来の分解酵素で化膿性炎症が生じ|膿を持った空洞ができた状態
android	人造人間
reincarnation	再生|生れ変り
reproducible	再現可能な
mislead	誤り導く|誤った方向に導く|悪事に誘いこむ|欺く
skydiving	スカイダイビング(パラシュートで目標地点への降下を競うスポーツ)
sleuth	探偵|跡|観察する|調べる
housekeeper	家政婦
hysterical	ヒステリーの
disinfection	消毒
perfusion	パーフュージョン|(医)灌流|毛細血管やそれに準ずる機能血管系の血流を表わす用語
postseason	ポストシーズン
negation	否定
smoothie	スムージー|バナナなどのフルーツをミキサーでミルクと混ぜた飲み物|洗練された人|魅力的な人|すてきな人
covey	(母鳥と群居する)一群
dauphin	《しばしばD-》ドーフィン(昔のフランス皇太子の称号)
takeoff	離陸
hangman	絞首刑執行人
modernist	現代主義の|近代主義者|現代主義者
elastomer	エラストマー(ゴムのような弾性物質)
woof	(織物の)横糸|(犬の)うなり声
ominous	不吉な|不気味な|縁起の悪い|前兆となる
socialize	をグループ活動で行う|を社会主義化する
dictation	書き取り
adorn	飾る|decorate
databank	データバンク
adrenergic	アドレナリン作動性の
subtlety	微妙な考え|微妙|希薄|巧妙
techie	専門的な
reprimand	叱責(する)(rebuke)|懲戒(する)|戒告
piccolo	ピッコロ|小型管楽器
basilica	(古代ローマの)公会堂|その様式の教会堂
virtuous	高潔な|有徳の|徳の高い|貞潔な|貞淑な
memento	形見|記念の品|みやげ|土産|記憶|思い出
sib	(síb)|血縁者|親類の人
incapacity	無能
overkill	やり過ぎて
seep	しみ出る|滴下する|漏れる|浸透する|小さな泉
interlink	〜‘を'つなぎ合わせる|連結する
heartbreak	胸が裂けるほどの悲しみ|悲嘆|断腸の思い|悲痛
effortless	たやすい|楽な
hydroelectric	水力電気の|水力発電の
cranial	頭蓋の
hindsight	あと知恵|(銃の)後部照尺
friendliness	好意|親切|親善|親睦|友情
invincible	無敗の|征服されない|克服しがたい|無敵の
resonator	共振器
criticise	批判する
cramp	足が攣る(つる)|こむら返り|He had his right leg cramp|束縛する|かすがい|締め具
erratic	一定しない|不安定な|突飛な
barrage	連続|連打|連発
spousal	配偶者の
wham	バシッ|ドシン|ガーンなどの強打･衝撃を表す
cyclin	サイクリン|真核生物の細胞において細胞周期を進ませるために働く蛋白質
fissure	裂け目|割れ目|亀裂|ひび|分裂
meltdown	融解|原子炉の炉心溶融
tact	機転|如才なさ
deduce	推論する
circulatory	(血液の)循環上の
rebuke	人を責め咎める|戒める|非難する|なじる|懲戒|抑制|叱責(する)
opioid	オピオイド(体に麻薬様の薬効を与える物質)
unrecognized	認められていない
affectionate	愛情深い
translational	翻訳の
unimportant	重要でない|ささいな|取るに足らない
standout	すばらしい人(もの)|傑出した人(もの)
bayonet	銃剣(で刺す)|バヨネット(銃器に銃剣を装着する装置)
zoological	動物学(上)の
helical	螺旋(らせん)|螺旋状の
pseudonym	偽名|匿名|筆名|ペンネーム
graze	牧草を食う|擦れる|放牧する|生草を食う
supersonic	超音速の(機)|超音波(の)
muster	(勇気を)奮い起こす|召集する|集まる|招集|点呼
foothill	山すその丘陵|山麓地帯
payee	支払い先
causation	引き起こすこと|因果関係|因果説|原因|原因として働くこと
deciduous	抜け落ちる|脱落性の|落葉性の
photosynthesis	光合成
knockoff	模造品
precaution	予防|予防策|用心|警戒
empirically	経験的に|経験に基づいた
stethoscope	聴診器
philanthropic	博愛の
verity	真実
lichen	地衣類(岩や木につくコケ)|地衣
critter	生き物|動物|人|家畜|(神話の)奇妙な動物
dogwood	ハナミズキ|アメリカヤマボウシ
exorcism	悪魔払い|魔除け|厄払い
peregrine	流浪性の|遍歴中の|海外居住者|巡回の|広く分布している|出口|小売店|コンセント|ハヤブサ(鳥)
cutaneous	皮膚反応
lumen	ルーメン|(1candelaの点光源が立体角1steradianに放出する光束強度)
porter	荷物運搬人|門番|運搬人|赤帽|ボーイ|守衛|玄関番
infrequent	まれな
bugger	嫌なやつ･こと|くそっ|ちくしょう
rump	(動物の)しり|(牛の)腰肉|残りかす|残党
impeccable	欠点のない|非の打ちどころのない|完全な
oblige	強いる|余儀なくさせる
cyclist	循環説主張者|自転車乗り
milieu	(仏語|中間の意)|環境|境遇
crunchy	ザクザクと音がする|バリバリ噛む|ジャリジャリする|歯ごたえが良い|しゃきしゃきしている
sunburn	を日焼けさせる|日焼けする|(炎症を起こした)日焼け
rota	当番表|ロタ島(Rota Island)|ミクロネシアにある米国の自治領|人口約3000人
sealant	密封剤(封ろう・接着剤など)
rightful	正当な
fjord	フィヨルド(= fiord)|ノルウェー語で「入り江」という意味で|氷河に侵食された谷の下流部が海水に覆われたもの
nettle	苛立たしいもの･こと|いらいら(させる)|イラクサ(で刺す)
bimbo	(見かけはいいが)頭の弱い･身持ちの悪い女|オシャレと男性にのみしか関心がない女性
extracurricular	課外の
pious	信心深い|偽善的な|宗教的な|敬虔な
undeveloped	未発達の|未開発の
undisputed	争う余地のない|明白な|確実な
tonal	音色の|色合いの|色調の|調子の
antecedent	先行詞|先だつ
psychoanalysis	精神分析
hesitant	ちゅうちょする
poco	(音楽などで)やや少し
nob	頭|頭への一撃|貴族|金持ち|名士|要人|お偉方
bough	大枝|主枝|(branch幹(trunk)から出る枝|bough大枝|twig小枝|spray葉や花がついた小枝)
candlelight	蝋燭の光
votive	(誓いを果たすために)奉納した|願掛けの
embankment	堤防|土手
spanking	(歩調)活発な|威勢のよい|(風)強い|すごく立派な|すてきな
pretreatment	前処理
ejection	追放
pessimistic	悲観的な|悲観(厭世)主義の
flashy	一時の|服装などが派手な
lurk	待ち伏せする|(胸中に)潜む|潜伏する|忍んで行く
coexist	共存する
shortwave	短波(の)
duster	掃除人|雑巾
quaternary	四つ一組み(の)|四元素(四基)から成る|(地質学)第四紀(の)
buzzard	ヒメコンドル|ノスリの類
overboard	船外に
faithless	あてにならない|信仰のない|不実な|不貞な
monorail	モノレール
blasphemy	不敬|冒涜
prerogative	特権を持つ|大権|特権|特典
stateroom	個室|特別室
overuse	過度の使用|酷使|乱用|使い過ぎる|乱用する
potpourri	ポプリ|混合曲
barrio	(米国の)スペイン語通用地域
leafy	葉に覆われた|葉の多い|葉のような
passionately	情熱的に|熱烈に|激しく|激怒して
proposer	提案者|発起人|申し込み人
absurdity	不合理|不条理
needlepoint	ニードルポイント
dolor	悲しみ|嘆き
vernacular	その土地特有の(ことば)
cyborg	サイボーグ
adagio	(音楽で)ゆるやかに|アダージォの曲(楽章)
lowdown	真相|内幕|非常に低い
apologetics	(キリスト教を弁護する神学上の)護教論|弁証論|擁護論(術|学)
lusty	たっぷりの|強壮な|元気な|力強い|大柄な
threonine	スレオニン|アミノ酸の一種|必須アミノ酸の1つ (=THR)
encephalitis	脳炎
papyrus	パピルス(紙)|カミガヤツリ|パピルス写本
disrespect	失礼
vex	いらいらさせる|なやませる|困らせる|苦しめる|討論する
coenzyme	コエンザイム(酵素名)
cinematographer	撮影監督
nutty	に熱中して
vermilion	朱色の|朱色
weekender	週末旅行者
linearity	直線性
inadequacy	欠点|不十分|不足|不適当|不備|無能
endlessly	延々と
hasty	早まった|急ぎの|軽率な|急いだ|迅速な
batik	ろうけつ染め
dexterity	器用さ
cus	お客さま
chieftain	指導者|(山賊などの)首領
recitation	暗唱|朗読
macular	黄斑の
atrophy	衰退|(栄養不足などによる)萎縮症|委縮する
stratification	(地質学)|成層|層理|層化
resumption	再開|回復|回収
bidirectional	双方向の
starfish	ヒトデ
abet	扇動|扇動する|(悪事)をけしかける|教唆する
livery	そろいの服|衣類 ex|the livery of grief (woe) 喪服
trifle	(金･時間･精力などを)を浪費する|粗末にする|とるに足らないこと|わずかの金
spay	卵巣を取り去る
congestive	うっ血性
etymology	語源|語源学|語源的意味
tectonic	建築の|建築学上の|構造変化の|構造上の|築造の
seedling	若木|苗(木)|実生の苗木
erasure	ぬぐい消すこと|抹消|削除個所(語句)|消した跡
underserved	行き届いていない
crumb	かけら|パンくず|パンの中味
admixture	混合物(剤)
seascape	海げしき|海景画
leno	絡み織り
predictability	予測可能性
pajama	パジャマ|ゆるいズボン
gestational	妊娠の
ecotourism	自然観光ツアー|エコツアー
prematurely	時期尚早に
frail	こわれやすい|もろい|虚弱な|か弱い|意志薄弱な|はかない
hatchet	手おの|手斧|ておの|(=ax)
awfully	ひどく|非常に|すごく|とても(veryのインフォーマルな言い方)
mayflower	5月に咲く花(特にイギリスではサンザシ･米ではイワナシ)
legalize	合法化する
stylistic	文体の
corneal	角膜の
cordial	心からの
shriek	叫ぶ|悲鳴|悲鳴をあげる|かん高い声で言う|金切り声|かん高い声
roomy	大きい
macaroni	マカロニ|(俗)イタリア人|イタリア風のしゃれ者
swank	見せびらかし
starlet	売出中の若手女優|小星|小さい星
gambit	手初め|開戦の手|手始め|いとぐち|切出しのことば|話題|策略|作戦
disassemble	分解される|バラバラになる|散らばる|分解する|取り外す|バラバラにする
bock	(ドイツ製)黒ビール
dumpster	(有蓋･無蓋の四角い鉄製大型ゴミ容器|機械操作で清掃車にゴミを移す)|ダンプスター
bellow	大声でどなる
schoolhouse	校舎
creationism	創造説(宇宙や生命の起源を創世記に書かれた「創造主なる神」に求める考え方)
preempt	相手を封ずる|先制する|先取する|先買権で購入する
nimbus	(宗教画などの)後光 ・光輪・(人・もの・場所にただよう)輝かしいふんい気; 後光 （halo）・光輪; 栄光;雨雲
nog	ノッグ(英国の強いビール)|eggnog
firsthand	直仕入れの|直接の|直接に
accretion	(発育･付着･包含などによる)増大|付着|融合|合体
tithe	十分の一税|10分の1|小部分
turbidity	混濁|濃密
zzz	グーグー(いびきの音)
trier	tryする人|いつも最善を尽くす人|サンプル抽出器|検査員|試験装置|陪審員忌避審判官
brothel	売春宿
leisurely	ゆっくり(と)|急がない
minnow	ヒメハヤ|小魚
cardiologist	心臓内科医
mayonnaise	マヨネーズ
kidnap	誘拐する
transect	横断する
briar	いばら
limitless	無限の|広々とした|限りない|果てしない|青天井の
possum	ポッサム|有袋類フクロギツネ科(豪|ニュージーランドに分布)|袋に子を入れて運び|危険になると死んだふりをする|オポッサムは有袋類オポッサム科で南北米大陸に分布)|別の種
preventable	予防可能な
bumpy	(道路)でこぼこの|(車･旅行)がたつく
mongoose	マングース
separatist	分離主義者|分離派の人
mullet	ボラ
collate	対照する|のページ順をそろえる|の落丁調べをする
acceptability	受容性
ventricle	(心臓の)心室 (cg|atrium心房)
constitutionally	憲法上
disapproval	反対意見|非難|不可とすること|不賛成|不承認|不満
hawker	行商人|鷹匠|飛翔中獲物を捕る虫
counterpoint	対位法(で作･編曲する)|対旋律|対照的な要素(で強調する)
unlucky	不運な|不首尾の|不吉な
ketchup	ケチャップ
gush	ほとばしり出る|噴出|勢いよく流れ出ること
alimony	(離婚後･別居後に夫が妻に与える)生活費|扶養料
viscous	粘着性の|粘りけのある
sundial	日時計
volley	ボレーで打ちかえす|いっせいに飛ぶ|いっせい射撃|(質問･悪口の)いっせい放射|連発
reinvestment	再投資
unambiguous	明瞭に|はっきりと|clearly
headhunter	首狩りを行う未開人|人材を引き抜く人
handicraft	手先の熟練
emphysema	(èmfəzíːmə)|気腫|(特に)肺気腫
rejuvenation	再生|復活|若返り|一新
atelier	アトリエ|仕事場|製作室|画室
aver	断言する|であると主張する
burley	バーレー種の葉タバコ(特に米国Kentucky州とOhio州南部で栽培される)
butter	バター
cynic	皮肉屋
bestow	与える|授ける|を贈る|利用する
unheard	聞こえない
interment	埋葬|土葬
cairn	ケルン(記念塚)
nomadic	遊牧の|cf|nomad(遊牧民)
wrongdoing	悪事
meson	中間子|(クォークおよび一つの反クォークで構成された不安定な亜原子粒子)
racetrack	競技場
decompression	減圧
galena	ガレナ|方鉛鉱(PbS|硫化鉛)
inactivation	不活化
olfactory	嗅覚の|嗅官の
prognostic	予後の
