mystical	神話的な
unseen	見られない|まだ見たことがない|見知らぬ|目に見えない|即席の
piazza	広場|市場|ベランダ|回廊
notepad	メモ用紙|はぎ取り式ノート
optimism	楽天主義|楽観主義
unusually	いつになく|異常に|著しく|一風変わって|非常に|ひどく
impotence	インポテンス|性的に不能の
constable	警官 
depletion	使い尽くすこと|枯渇|減損|減価償却
wrangler	口論する人|言い争う人
alligator	アメリカワニ|ワニ皮
intravenous	静脈内の|静脈(注射)(の)
hereafter	今後(は)
remit	怒りを和らげる|を送る|税を免じる|軽減する|支払う
ballast	(鉄道･道路の)砂利|道床|バラス|(船の)底荷|脚荷|バラスト
flask	フラスコ|鋳型
fragmentation	分解|断片化
paranormal	超常能力がある人|超常現象|パラノーマルな|科学的に説明できない|超常的な
generosity	物惜しみしないこと|寛大な行為
akin	血族の|血族で|似通って|類似して
adversary	相手|敵|反対者|敵対者
aqueous	水の|水性の
canister	缶|金属容器
coma	(kóʊmə)pl|comae(-miː)|(天文)コマ|彗星の頭部で核の周囲の星雲状のもの|(植物学)種髪(しゆはつ)ワタなどの種子の綿毛|(医学)昏睡(状態)
gangster	悪党
smother	を窒息させる|覆い隠す|もみけす|濃い煙|大混乱
presumption	見込み|推定|仮定|推定の根拠|無遠慮|でしゃばり
preferable	より好ましい|ましな
ironically	皮肉に
vowel	母音|母音字
billet	革ひも|鋼片
hottie	湯たんぽ
adrenaline	アドレナリン|刺激剤|神経伝達物質またはホルモンとして働く
hone	(技術などを)磨く|(かみそりなどの)砥石(でとぐ)|(hone one's skills腕を磨く)
snowman	雪だるま
mammalian	哺乳類の|ほ乳動物(の)
rascal	いたずらな人|悪党|ごろつき|卑しい
meteorology	気象学
maniac	狂人|熱狂家|～狂
pristine	初期の|原始時代の|素朴な|清純な|自然のままの|元の|原始的な
interception	妨害
auditory	耳の|聴覚
apricot	アンズ|アプリコット|アンズ色
applause	称賛|拍手喝采|声援
medically	医学的に
trait	特性|特|特色|特徴|習性|一筆
melanoma	黒色腫
picturesque	絵のように美しい|人目をひく|表現力に富んだ
grader	(合成語で)～年生
resent	を不快に思う|憤慨する|恨む
trough	凹型(=concave)|溝|管|気圧の谷|桶|木鉢
brood	ひとかえりのひな鳥|(動物の)ひと腹の子|思案する|くよくよ考える　3|(雲|暗闇などが)たれこめる|おおう
secrecy	秘密性|秘密|秘密主義|秘密にしておくこと
remand	再拘留(する)|送り返す|(人に)帰還を命ずる|(裁判の)差し戻し|再拘留者
shovel	シャベル
fertile	肥沃な|生産力の豊かな
plausible	もっともらしい|口先のうまい
eruption	噴火|爆発
interlock	組み合わせる|連結する|結合する|組み合う|抱き合う|連結|連動
spaniel	スパニエル犬
fahrenheit	華氏|華氏温度
oneself	自分自身|自ら
abbreviation	略語|省略|短縮
mite	ダニ|ごく小さいもの|(かわいそうな)子供|(少額)寄付
intersect	横切る|横切って二分する
broom	ほうき|掃く|エニシダ(植物)
anomaly	例外|変則|異常|変則的なもの|異形|偏差
flatbed	フラットベッド|平台
expressive	表現力に富む
punctuation	句読|句読法|句読点
frontal	前額骨|前部の
havoc	(自然などの)大破壊|大混乱
ubiquitous	至る所にある|遍在する
genie	童話で|人間の姿になって願い事をかなえてくれる精霊|魔神(A devil|Satan)|コーランにあり|人間や動物の形で人類に影響するとイスラム教徒に信じられている精神(=jinn)
arsenic	ヒ素|(ヒソ|砒素)|元素記号As|灰色ヒ素(金属ヒ素)|ロウ状の柔らかい黄色ヒ素|黒リンと同構造の黒色ヒ素の3同素体がある|リンに似た物理化学的性質を示し|毒性の由来になっている
synonym	類義語|同意語
facilitation	(〜を)容易にすること|促進させること《+『of』+『名』》
vantage	有利|優越|優勢な地位|(古)利益
mobilization	動員|(富などの)流通
rupture	破裂(させる)|裂け目|不和|国交断絶
yer	あなたの
cutoff	切断|遮断|決算日
discontinue	廃止する|中止する
eel	ウナギ|鰻
glaze	ガラスをはめる|つや出し
colloquium	非公式会議
abatement	軽減;緩和;〈C〉減価|減額
triad	三つ組|3人組|三和音|三価元素
daycare	デイケア|保育園
undercover	秘密の
transnational	多国籍企業|国家を越えた|国境を越えた|多国籍の|国という枠組みを超えた
motorway	(UK英)高速道路
clog	の動きを妨げる|ふさぐ|動きを妨げる|詰まらせる|邪魔者|おもり|木靴
obscene	わいせつな|反道徳的な
shaman	シャーマン(呪術者|巫女|祈祷師|語源はツングース語)
continual	繰り返される
polymorphism	ポリモーフィズム|オブジェクト指向プログラミング言語の性質のひとつ|「多相性」「多様性」などの意
axial	軸の(ような)|軸の方向の
topographic	地理的
outweigh	上回る
majordomo	(昔のスペインやイタリヤの貴族・王家などの)召使頭|執事
imaginative	想像力に富む
watchlist	ウォッチリスト
camper	キャンパー|キャンピングカー(和製英語)
khaki	カヤック|(カヤック競技|kayaking)
camouflage	カムフラージュ|迷彩|偽装
numb	の感覚をなくす|感覚を失った|麻酔をかける|まひした|にぶい|麻痺した|痺れた
argentine	銀の;銀色の|銀;銀色
fuss	大騒ぎする|大騒ぎ|空騒ぎ
aft	船尾に|後部に|尾翼の方に
trombone	トロンボーン
masquerade	仮面舞踏会|仮面でおおう|仮装する|虚構|ふりをする
uptown	山の手へ
subparagraph	副段落
chaplain	公共施設付きの牧師|施設付きの司祭
rectal	直腸の
silently	黙って|静かに
impartial	公平な|片寄らない|偏らない|公明正大な
turbulence	乱気流|騒乱|混乱|社会不安
trampoline	トランポリン
tyranny	暴虐行為|暴虐|暴政|圧制|専制|虐待|専制政治
adept	熟達して|名人
tamper	不正取引をする|に干渉する|買収する
urology	泌尿器科|泌尿器科学
aforementioned	前述の
obese	でっぷり肥えた|肥満体の|肥満
verge	接する|ふち|へり|端|境界
legitimacy	合法性|正系|正統|妥当性|嫡出|適法|道理にかなっていること
zoology	動物学
enigma	解きにくいなぞ|謎|なぞの人|不可解なもの|なぞ
unwilling	気が進まない|いやがる|不本意の|いやいやながらの|反抗的な
deduct	控除する
velcro	ベルクロ・マジックテープ・（商標）Velcro
playmate	遊び仲間|遊び友達|子供の遊び友達
paranoid	偏執性の|偏執症の(患者)の|偏執(誇大妄想)的な|偏執症患者
dizzy	目まいのする|めまいのする|目が回る|当惑した|面食らった
tweed	ツイード服地
sinister	不吉な|邪悪な|不幸な|縁起の悪い|(盾の紋地の)左側の(向かって右)|(左側は不吉と考えられていた由縁)(反)dexter
disappearance	消失|消滅|失踪
perish	を殺す|滅びる|死ぬ|消滅する|悪くなる|堕落する
crosse	クロス(ラクロス(lacrosse)競技用のラケット)
phosphorylation	リン酸化反応
helpless	無力な|無力の|自分ではどうすることもできない
innovator	革新者
neonatal	新生児の
racquet	ラケット
fundamentalist	根本主義|原理主義|根本主義者
reaper	刈り取る人|刈取り機
depiction	描画
proctor	代理人|代訴人|試験監督者
revoke	取り消す
bridesmaid	花嫁の付き添い|花嫁の付き人|花嫁付添いの若い女性
labyrinth	迷路|迷宮
cosmopolitan	世界主義の|世界的な|世界を家とする|全世界的な|世界人|国際人
pulley	滑車|ベルト車|せみ
cyst	膿胞|胞嚢|嚢胞(のうほう)
sassy	生意気な
ribosomal	リボソームの|(ribosomeを参照)
masturbate	自慰行為をする
pancreatic	膵臓の
receptacle	貯蔵所|容器|置き場|花床|コンセント
fiduciary	信用上の|信託の|受託者|被信託者
digger	掘削機|鉱員
collectable	収集価値のあるもの|マニアが収集するもの
shortfall	不足|不足分(額)
craze	の気を狂わせる|怒らせる|大流行|熱狂
suitcase	スーツケース
bulge	ふくらませる|膨らむ|ふくらみ|ふくらむ|出っ張る
straighten	をまっすぐにする|まっすぐになる|整える|整備する
imposition	賦課物|税|負担|詐欺|ぺてん|(印刷)整版
demise	死|死亡(する)|崩御|逝去|消滅|終焉|権利譲渡|賃貸する|譲る
tactic	順序の|方策
voicemail	ボイスメール
snowy	雪の|雪の多い
contextual	前後関係上の|文脈上の
teleconference	テレビ会議
wisely	賢く|賢明に|抜け目なく|賢明にも
neutrino	ニュートリノ
atrium	アトリウム|心房|房(ｃｆ|ventricle心室)
superficial	うわべだけの|表面の|平方の|皮相な|(息が)浅い
fret	腐食する|むしばむ|苛立たせる|いらだち|苦悩|稲妻模様|(雷文)浮彫り
cryptography	暗号法
tubular	管状の|尿細管の
cupboard	食器だな|食器棚|戸棚
ultrasonic	超音波の
intergovernmental	政府間の
croft	(屋敷続きの)小農園;(家畜数頭を飼育する程度の)小牧場|(小さな)小作地
coherence	首尾一貫性|首尾一貫
druid	ケルトの魔術士|(キリスト教化以前の古代ケルト族の)ドルイド僧
elliptical	楕円形の
dino	ディノ|恐竜(の)
burglary	夜盗行為|強盗|泥棒
flashback	(記憶などが)突然過去に戻る|(光が)照り返す
tributary	貢献者|属国|(川の)支流
scalp	頭皮|小利潤|(転売による)利ざや|人に恥をかかせる|戦利品
attire	に盛装させる|衣装
derrick	油井やぐら
respectful	敬意をもつべき
haiku	俳句|Japanese poem of seventeen syllables
ascend	のぼる|上る
yummy	おいしい|すてきな|素晴らしい
externally	外部から
fluffy	けばの
retardation	遅延|妨害
lyme	ライム病の|(lime果物のライム|lymeライム病|rhyme押韻)
solitary	孤独の|ひとりの|一人だけの|孤独な|めったに人の訪れない
bathtub	浴槽
pecan	(植物)ペカン|ピーカン(北米産ヒッコリーの一種)
confinement	限ること|限定|制限|監禁
perturbation	心の動揺|ろうばい|混乱|摂動
ado	骨折り|騒ぎ|騒動
orderly	秩序のある|整然とした|規律正しい|命令の|当番兵|(病院の)付き添い
chronograph	クロノグラフ(時間を図表として記録する装置)
sandstone	砂岩
everlasting	永久の
shawl	ショール|肩掛け|にショールをかける
citadel	とりで|城|より所
endocrine	内分泌の|内分泌腺
agony	苦痛|煩悶
fanny	(俗)お尻
polyethylene	ポリエチレン(系)|PE|エチレンが重合した|最も単純な構造をもつ高分子で|容器や包装用フィルムをはじめ様々な用途に利用される|合成樹脂化学の基本物質
bootleg	(酒などを)密輸する|密売(する)|違法の|不正な
ammo	弾薬(=ammunition)
slough	堕落のふち|泥沼|ぬかるみ|湿地
hearth	暖炉の前|炉|炉床|炉辺|家庭|火床
ruling	支配する|統治する|決定|判決|有力な|一般の|主たる|目下の
quadrant	四分円|象限
mantra	マントラ|真理を表す秘密の言葉|呪文|持論|主義|信念|モットー|スローガン
geophysics	地球物理学
microscopic	微視的な|顕微鏡でやっと見えるほどの
broccoli	ブロッコリ
delinquent	非行の|罪を犯した|怠慢な|義務を怠る|職務怠慢の|非行少年
linker	リンカー(モジュールのリンクを行なうプログラム)|linkage editor|link editor
embryonic	胚に関する|胎児の|胚の
ascent	上昇|昇進|上り
graceful	しとやかな|優美な|上品な|素直な
intimacy	仲の良い|親密|親しい|個人的な|私事の|精通した
shellfish	貝
brink	瀬戸際|縁|頂|最高点|水ぎわ|水辺|間ぎわ
putter	(米語)ぐずつく|ぶらつく
nebula	(複数形)nebulae|nebulas|星雲|尿の白濁|角膜片雲
epsilon	(第5ギリシア文字)エプシロン|Ε|ε|(電算)極微量
salinity	塩分|塩度
exhaustive	徹底的な|網羅的な|枯渇させる|消耗的な
astrophysics	天体物理学|宇宙物理学
windmill	風車|かざぐるま(=pinwheel)
conceive	考える|思い付く|想像する|妊娠する
eject	追い出す
inferno	地獄(のような光景･場所)
devotional	信心の|礼拝の|祈りの
meaningless	無意味な|目的のない|無益な|つまらない
negligible	とるに足らない|無視できる
moron	まぬけ|馬鹿|アホ|軽度精神薄弱者
hutch	ハッチ|檻
grub	掘り起こす|掘返す|地虫
prong	(フォークなどの)とがった先|(フォーク|角などで)刺す|貫く
mentality	心情|知力|知性|心理|思考方法
axel	axle|車の車軸|アクセル(=acceleratorスケートのジャンプ)
expandable	伸び得る|拡張できる|発展性の
censor	検閲する|検閲官|批評者|非難者|潜在意識の抑圧
bourne	(=bourn)細流|小川
distract	(気持ち･注意)をそらす|迷わす|心をかき乱す
slender	ほっそりした|不十分な|細長い|わずかな|薄弱な
reliably	確実に
bartender	バーテン(=barman|UK英)|(bar+tender(世話人))
multidisciplinary	多くの学問領域にわたる
relapse	退歩|ぶり返す|再び陥る|(病人が)再び悪化する|逆戻りする
ventricular	心室の
singleton	一つづつ起こるもの|別物|(トランプ)一枚札(の手)
evoke	呼び出す|(記憶など)を呼び起こす|(感情･記憶などを)呼び起こす
villager	村人|田舎の人
signify	を意味する|を示す
rapport	調和|調和する
transferable	譲渡可能
loco	ロコソウ(有害な豆科植物)|ロコ病(家畜の脳病)
frown	顔をしかめる|難色を示す|眉をひそめる|しかめ面|不満|怒りを表す
husky	殻の(多い)|しゃがれ声の|(声が)ハスキーな|がっしりした(人)|ハスキー犬(Siberian husky)
paycheck	給料支払小切手|給料
bland	人当たりがよい|穏やかな|当たり障りのない
rouse	の感情を高ぶらせる|の目をさまさせる|人を奮起させる|目を覚ます|起きる|覚醒|激励者
yup	yes|ヤップ|ヤッピー(young urban professionals|Yup)
fixation	定着
foreground	(風景･絵画の)前景|最前面|表面|最も目立つ位置
abigail	腰元|侍女
disgust	に嫌気を起させる|嫌にならせる|嫌悪感|嫌悪
lighten	の色を薄くする|軽くなる|明るくなる|を喜ばせる|楽になる|晴れ晴れする|軽減する|明らかにする
viscosity	粘度
immunoglobulin	免疫グロブリン|炎症や悪性腫瘍がある際血液中に増加し|免疫の中で大きな役割を担っている
counterfeit	にせもの|にせ札|偽造品|偽造する
outlay	経費|支出
terminus	(複termini) 終点|終着駅(=terminal)
fibrosis	繊維症|繊維形成|線維症
braid	組ひも|さなだひも|飾りモール|三つ編み(の髪)|編んだ髪|おさげ(ひもや髪を)編む
pluck	を引き抜く|(羽を)むしり取る
marten	テン(の毛皮)
fungus	(複数形)fungi|真菌類|菌類|かび(mushroom|toadstool|mildew|moldを含む)
wrestler	レスラー|レスリング選手|組み打ちする人
swat	ぴしゃりと打つ
impede	妨げる|邪魔する
parametric	パラメーターの
kickoff	キックオフ|開始
sweetie	甘いもの
flatware	皿類;(特に)銀食器
torment	に肉体的苦痛を与える|を困らせるを苦しめる|を悩ます|苦労の種|苦痛|苦悩|拷問
parenthood	親であること
anarchist	無政府主義者
hitter	打者
morph	変形する|形態を変える(morph|morphing)
lobe	耳たぶ(earlobe)|丸い突出部|(解剖)脳葉|肺葉|肝葉など|(植物)葉などの裂片
sable	黒貂|クロテン(の毛皮)
outset	手始め|発端
doubtful	あいまいな|疑わしい|不確かな
inflow	流入|流入物|流入量|受領される|流入する
consultative	相談の;諮問の
insecure	不安な
simmer	今にも爆発しようとしている|ぐつぐつ煮える
divert	方向転換する|転換する|転送する|(注意など)をそらす
elasticity	弾性|弾力性
unload	(荷を)おろす|から積み荷をおろす
normative	規範的な
spade	スペード|踏鋤(すき)|鋤
longtime	積年の|長い間の|長年の
versatility	多用途性
fem	female|feminine
intricate	複雑な
crore	1000万(=100lakhs)
repression	抑圧|弾圧|抑制|制止|(抑圧された)感情
kudos	名声|栄誉|威信|賞賛
vim	精力|気力|活力
rivalry	競争|対抗|競走
irrespective	に関わりない
poo	うんち(幼児語)
incubation	孵化
orchestral	オーケストラの|オーケストラ的な
microfilm	マイクロフィルム
artifact	加工品|人工物|工芸品
topography	地形学|地勢学
locust	イナゴ|バッタ|セミ(cicada)
goalie	ゴールキーパー
tangent	接する|接線の|接線|接面
afterward	あとで|後に
elusive	理解しにくい|わかりにくい|密やかに暮らす
speculative	投機的な|理論的な|推論的な|思惑の|危険な
geologic	地質学の
whey	乳汁の水分|乳しょう
